Start Date,,,,,,,,,
End Date,,,,,,,,,
Response Type,,,,,,,,,
IP Address,,,,,,,,,
Progress,,,,,,,,,
Duration (in seconds),,,,,,,,,
Finished,,,,,,,,,
Recorded Date,=,"""Recorded.Date""",,,,,,,
Response ID,,,,,,,,,
Recipient Last Name,,,,,,,,,
Recipient First Name,,,,,,,,,
Recipient Email,,,,,,,,,
External Reference,,,,,,,,,
DistributionChannel - Distribution Channel,,,,,,,,,
Q1.2 - Please select your NYU Division/School:,=,"  ""Q1.2.DivSch""",,,,,,,
Q1.2_13_TEXT - School,=,"  ""Q1.2.DivSch.TEXT""",,,,,,,
Q1.2_12_TEXT - Others,=,"  ""Q1.2.DivSchOthers""",,,,,,,
Q1.3 - Please select your primary role:,=,"  ""Q1.3.Role""",,,,,,,
Q1.3_6_TEXT - Others,=,"  ""Q1.3.Role.TEXT""",,,,,,,
Q2.1 - Please select all the major applications you use (multiple-selection):,=,"  ""Q2.1.1.BPA""","  ""Q2.1_2_Fin""","  ""Q2.1_3_HR""","  ""Q2.1_4_PubSaf""","  ""Q2.1_5_SIS""","  ""Q2.1_6_FundR""","  ""Q2.1_7_UDW""","  ""Q2.1_8_Others"""
Q2.1_15_TEXT - Others,=,"  ""Q2.1.8.Others.TEXT""",,,,,,,
"Q2.2_x35 - Business Process Applications

(Payment Gateway, Receipt and Pledge Managem...",=,"  ""Q2.2.x35.Len.BPA""",,,,,,,
"Q2.2_x4 - Financial

(fame, Hyperion Planning, Hyperion Strategic Finance, DRM)",=,"  ""Q2.2.x4.Len.Fin""",,,,,,,
"Q2.2_x6 - Human Resources

(PeopleSync, myTime, iLearn, PeopleAdmin, PASS, HRIS Histo...",=,"  ""Q2.2.x6.Len.HR""",,,,,,,
"Q2.2_x25 - Public Safety

(Lenel, OneCard, NYU Traveler)",=,"  ""Q2.2.x25.Len.PubSaf""",,,,,,,
"Q2.2_x13 - Student Information Systems

(Albert/SIS)",=,"  ""Q2.2.x13.Len.SIS""",,,,,,,
"Q2.2_x2 - Fund Raising

(Advance)",=,"  ""Q2.2.x2.Len.FundR""",,,,,,,
"Q2.2_x3 - University Data Warehouse

(UDW, UDW+, Interactive Reporting (Brio))",=,"  ""Q2.2.x3.Len.UDW""",,,,,,,
Q2.2_x15 - Others,=,"  ""Q2.2.x15.Len.Others""",,,,,,,
Q2.2_x15_TEXT - Others,=,"  ""Q2.2.x15.Len.Others.TEXT""",,,,,,,
"Q2.3_x35 - Business Process Applications

(Payment Gateway, Receipt and Pledge Managem...",=,"  ""Q2.3.x35.Fre.BPA""",,,,,,,
"Q2.3_x4 - Financial

(fame, Hyperion Planning, Hyperion Strategic Finance, DRM)",=,"  ""Q2.3.x4.Fre.Fin""",,,,,,,
"Q2.3_x6 - Human Resources

(PeopleSync, myTime, iLearn, PeopleAdmin, PASS, HRIS Histo...",=,"  ""Q2.3.x6.Fre.HR""",,,,,,,
"Q2.3_x25 - Public Safety

(Lenel, OneCard, NYU Traveler)",=,"  ""Q2.3.x25.Fre.PubSaf""",,,,,,,
"Q2.3_x13 - Student Information Systems

(Albert/SIS)",=,"  ""Q2.3.x13.Fre.SIS""",,,,,,,
"Q2.3_x2 - Fund Raising

(Advance)",=,"  ""Q2.3.x2.Fre.FundR""",,,,,,,
