ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score_sum,Score_weightedAvg,Score_weightedStdDev,Q1.1,Q1.2,Q1.2_TEXT,Q1.3,Q1.3_TEXT,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.1_5,Q2.1_6,Q2.1_7,Q2.1_8,Q2.1_8_TEXT,Q2.2_x35,Q2.2_x4,Q2.2_x6,Q2.2_x25,Q2.2_x13,Q2.2_x2,Q2.2_x3,Q2.2_x15,Q2.2_x15_TEXT,Q2.3_x35,Q2.3_x4,Q2.3_x6,Q2.3_x25,Q2.3_x13,Q2.3_x2,Q2.3_x3,Q2.3_x15,Q2.3_x15_TEXT,Q3.1_1_35,Q3.1_2_35,Q3.1_3_35,Q3.1_4_35,Q3.1_5_35,Q3.2_35,Q3.1_1_4,Q3.1_2_4,Q3.1_3_4,Q3.1_4_4,Q3.1_5_4,Q3.2_4,Q3.1_1_6,Q3.1_2_6,Q3.1_3_6,Q3.1_4_6,Q3.1_5_6,Q3.2_6,Q3.1_1_25,Q3.1_2_25,Q3.1_3_25,Q3.1_4_25,Q3.1_5_25,Q3.2_25,Q3.1_1_13,Q3.1_2_13,Q3.1_3_13,Q3.1_4_13,Q3.1_5_13,Q3.2_13,Q3.1_1_2,Q3.1_2_2,Q3.1_3_2,Q3.1_4_2,Q3.1_5_2,Q3.2_2,Q3.1_1_3,Q3.1_2_3,Q3.1_3_3,Q3.1_4_3,Q3.1_5_3,Q3.2_3,Q3.1_1_15,Q3.1_2_15,Q3.1_3_15,Q3.1_4_15,Q3.1_5_15,Q3.2_15,Q4.1,Q4.2,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,LocationLatitude,LocationLongitude,LocationAccuracy
R_32JBXfqeIGs1YRK,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,26.0,4.333333333333333,3.0767948691238205,1,School,Arts and Science,Staff/Administrator, ,1,1, , , , ,1, , ,5 years or more,5 years or more, , , , ,5 years or more, , ,Daily,Once a year, , , , ,Daily, , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,"Hyperion is not a user friendly system.  Because we only use the system during budget upload time, we tend to forget how to use the system.", , , , , , , , , , , , , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Satisfied, ,1,0,0,1.253,0, , ,-1
R_tVtbZyZR4rXX19D,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,27.0,4.5,2.949576240750525,1,School,FAS,Staff/Administrator, ,1, ,1, , , ,1, , ,2 years to less than 3 years, ,2 years to less than 3 years, , , ,2 years to less than 3 years, , ,Weekly, ,Weekly, , , ,Daily, , ,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Responses are slow., , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Satisfied,Great applications.,1,0,0,1.726,0, , ,-1
R_1pGMnFG1A3OME30,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,31.0,5.166666666666667,3.488074922742725,1,Student Services, ,Staff/Administrator, ,1, , , ,1, ,1, , ,2 years to less than 3 years, , , ,2 years to less than 3 years, ,2 years to less than 3 years, , ,Monthly, , , ,Monthly, ,Daily, , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,0,0,1.03,0, , ,-1
R_3PoAske9TypyLOB,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,29.0,3.625,1.9226098333849673,1,Finance, ,Staff/Administrator, ,1,1,1, ,1, ,1, , ,6 months to less than 2 years,Less than 6 months,6 months to less than 2 years, ,Less than 6 months, ,6 months to less than 2 years, , ,Daily,Weekly,Weekly, ,Monthly, ,Daily, , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied, , , , , , , ,Very Satisfied, ,1,0,0,3.044,0, , ,-1
R_21bpuyKGzM6Og0o,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,43.0,4.3,2.4517567397911058,1,School,NYU School of Law,Staff/Administrator, ,1,1,1,1,1,1,1, , ,5 years or more,Less than 6 months,5 years or more,Less than 6 months,5 years or more,5 years or more,5 years or more, , ,Monthly,Never,Monthly,Daily,Daily,Once a year,Daily, , ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, ,Neutral,Neutral,Neutral,Neutral,Neutral, ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Neutral, ,1,0,0,7.721,0, , ,-1
R_1mhgf3N5tuimfR3,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,25.0,4.166666666666667,2.7141603981096374,1,School,tisch,Staff/Administrator, ,1, ,1, ,1, , , , ,6 months to less than 2 years, ,2 years to less than 3 years, ,2 years to less than 3 years, , , , ,Monthly, ,Weekly, ,Monthly, , , , ,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Horrible applications that are way too cumbersome to navigate, , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied,Applications ahould detect at login all appropriate budget codes etc. that apply to the logged in user with no need to search.,1,0,0,1.663,0, , ,-1
R_2V90l5eASToWGZy,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,33.0,5.5,4.183300132670378,1,Others,Provost - Registrar,Staff/Administrator, ,1, , , ,1, ,1, , ,5 years or more, , , ,5 years or more, ,5 years or more, , ,Daily, , , ,Daily, ,Monthly, , ,Neutral,Satisfied,Neutral,Satisfied,Satisfied, , , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Satisfied, ,1,12.86,12.86,17.069,1, , ,-1
R_1JLB7N1rFlQTNt2,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,21.0,3.5,1.9748417658131499,1,Human Resource, ,Staff/Administrator, ,1, ,1, , , ,1, , ,5 years or more, ,3 years to less than 5 years, , , ,3 years to less than 5 years, , ,Monthly, ,Daily, , , ,Weekly, , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,Satisfied,Neutral,Neutral,Satisfied, , , , , , , , , , , , , , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral, ,1,0,0,2.633,0, , ,-1
R_2Swr1t91LwoqO9H,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,25.0,4.166666666666667,3.125166662222459,1,School,Faculty of Arts and Science,Staff/Administrator, ,1, ,1, , , ,1, , ,5 years or more, ,5 years or more, , , ,5 years or more, , ,Weekly, ,Weekly, , , ,Weekly, , ,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,"It is impossible to get to a knowledgeable person.  Everyone maintains anonymity in their responses, so nobody is accountable.", , , , , , ,Neutral,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,"It is impossible to get to a knowledgeable person.  Everyone maintains anonymity in their responses, so nobody is accountable.  There is a greater interest in closing tickets than really solving a problem.", , , , , , , , , , , , , , , , , , ,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied, , , , , , , ,Dissatisfied,I would like to see an account manager orientation.  One person who would shepherd problems through the huge number of people in NYU-IT.,1,0,0,2.1,0, , ,-1
R_9uD9OSPNgxCQSqd,Default Response Set, ,11/3/2015,11/3/2015, , , , ,1,0,31.0,4.428571428571429,2.760262237369417,1,School,Arts and Science,Staff/Administrator, ,1, ,1, ,1, ,1, , ,5 years or more, ,5 years or more, ,3 years to less than 5 years, ,3 years to less than 5 years, , ,Daily, ,Weekly, ,Weekly, ,Daily, , ,Satisfied,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral,Satisfied,Neutral,Neutral,Neutral, , , , , , , ,Satisfied,Neutral,Neutral,Neutral,Neutral, , , , , , , ,Neutral, ,1,0,0,2.663,0, , ,-1
