Year	G	PG	I	PNC	PUC	PPT	PD	PN	PS	YR	YRSQ	logG	logPG	logI	logPNC	logPUC	logPPT	logPD	logPN	logPS	Population	G $ per capita	logGpc	Lagged logGpc	Lagged logPG
1.960000000e+003	1.297000000e+002	9.250000000e-001	6.036000000e+003	1.045000000e+000	8.360000000e-001	8.100000000e-001	4.440000000e-001	3.310000000e-001	3.020000000e-001	-1.300000000e+001	1.690000000e+002	2.112939976e+000	-3.385826726e-002	3.780749231e+000	1.911629045e-002	-7.779372256e-002	-9.151498112e-002	-3.526170299e-001	-4.801720062e-001	-5.199930570e-001	1.799790000e+001	7.206396302e+000	8.577181416e-001		
1.961000000e+003	1.313000000e+002	9.140000000e-001	6.113000000e+003	1.045000000e+000	8.690000000e-001	8.460000000e-001	4.480000000e-001	3.350000000e-001	3.070000000e-001	-1.200000000e+001	1.440000000e+002	2.118264726e+000	-3.905380427e-002	3.786254396e+000	1.911629045e-002	-6.098022355e-002	-7.262963696e-002	-3.487219860e-001	-4.749551930e-001	-5.128616245e-001	1.829920000e+001	7.175177057e+000	8.558326223e-001	8.577181416e-001	-3.385826726e-002
1.962000000e+003	1.371000000e+002	9.190000000e-001	6.271000000e+003	1.041000000e+000	9.480000000e-001	8.740000000e-001	4.570000000e-001	3.380000000e-001	3.140000000e-001	-1.100000000e+001	1.210000000e+002	2.137037455e+000	-3.668448861e-002	3.797336801e+000	1.745072951e-002	-2.319166266e-002	-5.848856737e-002	-3.400837999e-001	-4.710832997e-001	-5.030703519e-001	1.857710000e+001	7.380053937e+000	8.680595359e-001	8.558326223e-001	-3.905380427e-002
1.963000000e+003	1.416000000e+002	9.180000000e-001	6.378000000e+003	1.035000000e+000	9.600000000e-001	8.850000000e-001	4.630000000e-001	3.430000000e-001	3.200000000e-001	-1.000000000e+001	1.000000000e+002	2.151063253e+000	-3.715731880e-002	3.804684515e+000	1.494034979e-002	-1.772876696e-002	-5.305672930e-002	-3.344190090e-001	-4.647058800e-001	-4.948500217e-001	1.884830000e+001	7.512613870e+000	8.757910677e-001	8.680595359e-001	-3.668448861e-002
1.964000000e+003	1.488000000e+002	9.140000000e-001	6.727000000e+003	1.032000000e+000	1.001000000e+000	9.010000000e-001	4.700000000e-001	3.470000000e-001	3.250000000e-001	-9.000000000e+000	8.100000000e+001	2.172602931e+000	-3.905380427e-002	3.827821428e+000	1.367969729e-002	4.340774793e-004	-4.527520902e-002	-3.279021421e-001	-4.596705252e-001	-4.881166390e-001	1.911410000e+001	7.784829001e+000	8.912490774e-001	8.757910677e-001	-3.715731880e-002
1.965000000e+003	1.559000000e+002	9.490000000e-001	7.027000000e+003	1.009000000e+000	9.940000000e-001	9.190000000e-001	4.710000000e-001	3.530000000e-001	3.320000000e-001	-8.000000000e+000	6.400000000e+001	2.192846115e+000	-2.273378757e-002	3.846769954e+000	3.891166237e-003	-2.613615603e-003	-3.668448861e-002	-3.269790929e-001	-4.522252946e-001	-4.788619163e-001	1.935260000e+001	8.055765117e+000	9.061067949e-001	8.912490774e-001	-3.905380427e-002
1.966000000e+003	1.649000000e+002	9.700000000e-001	7.280000000e+003	9.910000000e-001	9.700000000e-001	9.520000000e-001	4.750000000e-001	3.660000000e-001	3.420000000e-001	-7.000000000e+000	4.900000000e+001	2.217220656e+000	-1.322826573e-002	3.862131379e+000	-3.926345515e-003	-1.322826573e-002	-2.136305162e-002	-3.233063904e-001	-4.365189146e-001	-4.659738939e-001	1.955760000e+001	8.431504888e+000	9.259050961e-001	9.061067949e-001	-2.273378757e-002
1.967000000e+003	1.710000000e+002	1.000000000e+000	7.513000000e+003	1.000000000e+000	1.000000000e+000	1.000000000e+000	4.830000000e-001	3.750000000e-001	3.530000000e-001	-6.000000000e+000	3.600000000e+001	2.232996110e+000	0.000000000e+000	3.875813389e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	-3.160528692e-001	-4.259687323e-001	-4.522252946e-001	1.974570000e+001	8.660113341e+000	9.375235760e-001	9.259050961e-001	-1.322826573e-002
1.968000000e+003	1.834000000e+002	1.014000000e+000	7.728000000e+003	1.028000000e+000	1.028000000e+000	1.046000000e+000	5.010000000e-001	3.900000000e-001	3.680000000e-001	-5.000000000e+000	2.500000000e+001	2.263399331e+000	6.037954997e-003	3.888067113e+000	1.199311466e-002	1.199311466e-002	1.953168453e-002	-3.001622741e-001	-4.089353930e-001	-4.341521813e-001	1.993990000e+001	9.197638905e+000	9.636763554e-001	9.375235760e-001	0.000000000e+000
1.969000000e+003	1.958000000e+002	1.047000000e+000	7.891000000e+003	1.044000000e+000	1.031000000e+000	1.127000000e+000	5.140000000e-001	4.090000000e-001	3.860000000e-001	-4.000000000e+000	1.600000000e+001	2.291812687e+000	1.994668168e-002	3.897132043e+000	1.870049867e-002	1.325866528e-002	5.192391605e-002	-2.890368810e-001	-3.882766920e-001	-4.134126953e-001	2.013850000e+001	9.722670507e+000	9.877855681e-001	9.636763554e-001	6.037954997e-003
