x	yar	yma	yar*	xar*	yma*	xma*	yar2	yrw	xnew	ynew
1.000000000e+000	2.733869696e+001	3.942691230e+001					-4.560000000e+000	-4.014300755e+000	1.010000000e+002	1.910692262e+001
2.000000000e+000	3.336555017e+001	2.477817960e+001	1.450184927e+001	1.310000000e+000	4.670454327e+000	1.490000000e+000	-4.360000000e+000	-3.206837817e+000	1.020000000e+002	2.578810595e+001
3.000000000e+000	3.996075031e+001	3.705225210e+001	1.693852069e+001	1.620000000e+000	2.441538050e+001	1.980000000e+000	-3.950000000e+000	-3.569213813e+000	1.030000000e+002	2.370591538e+001
4.000000000e+000	6.260645523e+001	6.336242150e+001	3.503353752e+001	1.930000000e+000	4.446577293e+001	2.470000000e+000	-2.020000000e+000	-5.851198731e+000	1.040000000e+002	2.733981658e+001
5.000000000e+000	8.065443927e+001	6.306004410e+001	3.745598516e+001	2.240000000e+000	3.074520913e+001	2.960000000e+000	-1.030000000e+000	-9.785274921e+000	1.050000000e+002	2.004426437e+001
6.000000000e+000	8.609338761e+001	5.810219600e+001	3.044182451e+001	2.550000000e+000	2.594157351e+001	3.450000000e+000	-1.940000000e+000	-8.209862113e+000	1.060000000e+002	1.443925369e+001
7.000000000e+000	9.702497997e+001	8.575725140e+001	3.762054252e+001	2.860000000e+000	5.612513144e+001	3.940000000e+000	-2.580000000e+000	-1.872805593e+000	1.070000000e+002	2.522612511e+001
8.000000000e+000	1.030082198e+002	1.203115538e+002	3.606098362e+001	3.170000000e+000	7.657535559e+001	4.430000000e+000	-1.900000000e+000	-3.503380529e+000	1.080000000e+002	2.309461088e+001
9.000000000e+000	1.089305584e+002	9.565547290e+001	3.785488674e+001	3.480000000e+000	3.429658046e+001	4.920000000e+000	-1.690000000e+000	-3.726358703e+000	1.090000000e+002	2.413369937e+001
1.000000000e+001	1.134189903e+002	1.097453029e+002	3.825690500e+001	3.790000000e+000	6.096101172e+001	5.410000000e+000	-1.680000000e+000	-7.069098655e-001	1.100000000e+002	2.139016503e+001
1.100000000e+001	1.165022293e+002	1.317044404e+002	3.824312599e+001	4.100000000e+000	7.573433592e+001	5.900000000e+000	-3.390000000e+000	-1.208475300e+000	1.110000000e+002	1.844140736e+001
1.200000000e+001	1.251678038e+002	1.376910179e+002	4.478126558e+001	4.410000000e+000	7.052175330e+001	6.390000000e+000	-3.570000000e+000	8.364870619e-001	1.120000000e+002	1.572902739e+001
1.300000000e+001	1.423866704e+002	1.684537940e+002	5.602088578e+001	4.720000000e+000	9.823137487e+001	6.880000000e+000	-3.390000000e+000	-3.415508431e+000	1.130000000e+002	8.992647250e+000
1.400000000e+001	1.569020449e+002	1.757108134e+002	5.865524232e+001	5.030000000e+000	8.979937846e+001	7.370000000e+000	-4.330000000e+000	-1.043016405e+001	1.140000000e+002	1.798912864e+000
1.500000000e+001	1.715298284e+002	1.537936111e+002	6.326741742e+001	5.340000000e+000	6.418109627e+001	7.860000000e+000	-5.040000000e+000	-1.076721601e+001	1.150000000e+002	3.691704890e+000
1.600000000e+001	1.926439690e+002	1.515216874e+002	7.428838740e+001	5.650000000e+000	7.308694574e+001	8.350000000e+000	-3.630000000e+000	-1.144497443e+001	1.160000000e+002	6.159041415e+000
1.700000000e+001	2.138968836e+002	1.629817679e+002	8.097254499e+001	5.960000000e+000	8.570570733e+001	8.840000000e+000	-5.590000000e+000	-7.734190886e+000	1.170000000e+002	2.798064261e+000
1.800000000e+001	2.293706585e+002	1.837173450e+002	8.178180882e+001	6.270000000e+000	1.005966434e+002	9.330000000e+000	-5.000000000e+000	-3.907240756e+000	1.180000000e+002	-7.428065471e+000
1.900000000e+001	2.365724429e+002	2.199236079e+002	7.830668853e+001	6.580000000e+000	1.262277620e+002	9.820000000e+000	-6.910000000e+000	-7.052595962e+000	1.190000000e+002	-1.126656264e+001
2.000000000e+001	2.429887862e+002	2.264612448e+002	7.975380060e+001	6.890000000e+000	1.143002048e+002	1.031000000e+001	-7.150000000e+000	-4.319819548e-001	1.200000000e+002	-1.685456848e+001
2.100000000e+001	2.432232069e+002	2.360477193e+002	7.556094442e+001	7.200000000e+000	1.205524845e+002	1.080000000e+001	-8.760000000e+000	-1.053698983e+000	1.210000000e+002	-1.546107197e+001
2.200000000e+001	2.486474484e+002	2.419066830e+002	8.082343564e+001	7.510000000e+000	1.215223462e+002	1.129000000e+001	-7.920000000e+000	1.605849442e+000	1.220000000e+002	-1.407516747e+001
2.300000000e+001	2.485905276e+002	2.476536108e+002	7.702378820e+001	7.820000000e+000	1.242812025e+002	1.178000000e+001	-7.650000000e+000	-5.499553416e+000	1.230000000e+002	-1.498893358e+001
2.400000000e+001	2.665362202e+002	2.702118716e+002	9.500875616e+001	8.130000000e+000	1.439085301e+002	1.227000000e+001	-6.350000000e+000	-1.103731999e+001	1.240000000e+002	4.435582733e-001
2.500000000e+001	2.721584195e+002	2.714280430e+002	8.824842756e+001	8.440000000e+000	1.336199885e+002	1.276000000e+001	-7.080000000e+000	-1.108445065e+001	1.250000000e+002	3.991251606e+000
2.600000000e+001	2.769033430e+002	2.768608065e+002	8.911403355e+001	8.750000000e+000	1.384325046e+002	1.325000000e+001	-7.660000000e+000	-8.932372953e+000	1.260000000e+002	-3.522303024e+000
2.700000000e+001	3.080265795e+002	2.682087762e+002	1.169632728e+002	9.060000000e+000	1.270097649e+002	1.374000000e+001	-7.890000000e+000	-3.165398540e+000	1.270000000e+002	-6.342902671e+000
2.800000000e+001	3.149691309e+002	2.706559983e+002	1.024307910e+002	9.370000000e+000	1.338695224e+002	1.423000000e+001	-8.010000000e+000	3.332147921e+000	1.280000000e+002	-8.586862213e+000
2.900000000e+001	3.155593224e+002	2.958917180e+002	9.823062208e+001	9.680000000e+000	1.578571589e+002	1.472000000e+001	-9.330000000e+000	1.658554142e+000	1.290000000e+002	-1.382707034e+001
3.000000000e+001	3.154100363e+002	3.049487517e+002	9.767410384e+001	9.990000000e+000	1.540439755e+002	1.521000000e+001	-9.340000000e+000	3.655798293e+000	1.300000000e+002	-1.221985740e+001
3.100000000e+001	3.101944052e+002	3.120446941e+002	9.256148015e+001	1.030000000e+001	1.565208307e+002	1.570000000e+001	-9.760000000e+000	2.772062272e+000	1.310000000e+002	-9.348548204e+000
3.200000000e+001	3.321456008e+002	3.182608538e+002	1.181114612e+002	1.061000000e+001	1.591180598e+002	1.619000000e+001	-1.094000000e+001	1.738410487e+000	1.320000000e+002	-1.159906426e+001
3.300000000e+001	3.416555836e+002	3.304919096e+002	1.124751190e+002	1.092000000e+001	1.681788742e+002	1.668000000e+001	-1.095000000e+001	-1.401885044e+000	1.330000000e+002	-1.852407285e+001
3.400000000e+001	3.654971639e+002	3.418090713e+002	1.297548112e+002	1.123000000e+001	1.732581974e+002	1.717000000e+001	-1.361000000e+001	-1.453992512e+000	1.340000000e+002	-2.325044868e+001
