Trade_Date,Total_Breaks,Trade_Total,Break_Rate,Day of week,Logged break rate,Label,Day number,wt
34851,208,2769,7.511737089,Thursday,0.875740379,Monday,4,1.006027108
34852,156,2805,5.561497326,Friday,0.745191733,Tuesday,5,0.816027432
34855,586,2358,24.85156913,Monday,1.395353815,Wednesday,1,0.525099769
34856,285,3410,8.357771261,Tuesday,0.922090481,Thursday,2,1.7087445
34857,175,3137,5.578578259,Wednesday,0.74652353,Friday,3,2.034417419
34858,176,2816,6.25,Thursday,0.795880017,,4,1.006027108
34859,217,2925,7.418803419,Friday,0.870333863,,5,0.816027432
34862,210,2764,7.597684515,Monday,0.880681256,,1,0.525099769
34863,166,2572,6.454121306,Tuesday,0.809837124,,2,1.7087445
34864,190,3081,6.166828952,Wednesday,0.790061903,,3,2.034417419
34865,277,2691,10.29357116,Thursday,1.012566071,,4,1.006027108
34866,198,2826,7.006369427,Friday,0.845493033,,5,0.816027432
34869,186,2903,6.407165002,Monday,0.806665908,,1,0.525099769
34870,146,3974,3.673880221,Tuesday,0.565124993,,2,1.7087445
34871,180,3204,5.617977528,Wednesday,0.749579998,,3,2.034417419
34872,236,3371,7.000889944,Thursday,0.845153251,,4,1.006027108
34873,236,3667,6.435778566,Friday,0.808601093,,5,0.816027432
34876,204,2804,7.27532097,Monday,0.861852158,,1,0.525099769
34877,169,2772,6.096681097,Tuesday,0.785093479,,2,1.7087445
34878,266,3135,8.484848485,Wednesday,0.928644092,,3,2.034417419
34879,160,3229,4.955094456,Thursday,0.695051938,,4,1.006027108
34880,209,2730,7.655677656,Friday,0.883983639,,5,0.816027432
34883,128,2124,6.026365348,Monday,0.780055457,,1,0.525099769
34885,119,1108,10.7400722,Wednesday,1.031007201,,3,2.034417419
34886,234,3171,7.379375591,Thursday,0.868019615,,4,1.006027108
34887,221,4004,5.519480519,Friday,0.741898205,,5,0.816027432
34890,271,4045,6.699629172,Monday,0.826050765,,1,0.525099769
34891,282,3774,7.47217806,Tuesday,0.873447213,,2,1.7087445
34892,234,3479,6.72607071,Wednesday,0.827761429,,3,2.034417419
34893,245,3416,7.172131148,Thursday,0.855648222,,4,1.006027108
34894,250,3430,7.288629738,Friday,0.862645889,,5,0.816027432
34897,218,3689,5.909460558,Monday,0.771547838,,1,0.525099769
34898,246,3279,7.502287283,Tuesday,0.875193691,,2,1.7087445
34899,212,3522,6.019307212,Wednesday,0.779546509,,3,2.034417419
34900,262,4037,6.489967798,Thursday,0.812242542,,4,1.006027108
34901,267,3121,8.554950336,Friday,0.932217493,,5,0.816027432
34904,269,3034,8.866183256,Monday,0.947736704,,1,0.525099769
34905,169,3751,4.505465209,Tuesday,0.65373964,,2,1.7087445
34906,252,2883,8.740894901,Wednesday,0.941555898,,3,2.034417419
34907,203,3486,5.823293173,Thursday,0.765168655,,4,1.006027108
34908,697,3154,22.098922,Friday,1.344371089,,5,0.816027432
34911,213,2631,8.095781072,Monday,0.908258755,,1,0.525099769
34912,227,3043,7.459743674,Tuesday,0.872723905,,2,1.7087445
34913,234,3143,7.445116131,Wednesday,0.871871476,,3,2.034417419
34914,205,3254,6.299938537,Thursday,0.799336312,,4,1.006027108
34915,256,3433,7.457034664,Friday,0.872566162,,5,0.816027432
34918,232,3054,7.59659463,Monday,0.880618952,,1,0.525099769
34919,195,2696,7.232937685,Tuesday,0.859314724,,2,1.7087445
34920,214,2455,8.716904277,Wednesday,0.940362277,,3,2.034417419
34921,190,2224,8.543165468,Thursday,0.931618818,,4,1.006027108
34922,205,2547,8.048684727,Friday,0.905724916,,5,0.816027432
34925,195,2259,8.632138114,Monday,0.93611838,,1,0.525099769
34926,164,2049,8.003904344,Tuesday,0.90330189,,2,1.7087445
34927,174,2173,8.007363092,Wednesday,0.903489522,,3,2.034417419
34928,334,2709,12.32927279,Thursday,1.090937462,,4,1.006027108
34929,232,2671,8.685885436,Friday,0.938814097,,5,0.816027432
34932,181,2129,8.501643964,Monday,0.929502913,,1,0.525099769
34933,174,2646,6.575963719,Tuesday,0.817959408,,2,1.7087445
34934,165,2026,8.144126357,Wednesday,0.910844503,,3,2.034417419
34935,166,2051,8.093612872,Thursday,0.908142428,,4,1.006027108
34936,188,2231,8.426714478,Friday,0.925658279,,5,0.816027432
