Total Breaks	Trade Total	Break rate	Day of week	Logged break rate	Label	Day number
2.080000000e+002	2.769000000e+003	7.511737089e+000	Thursday	8.757403792e-001	Monday	4.000000000e+000
1.560000000e+002	2.805000000e+003	5.561497326e+000	Friday	7.451917327e-001	Tuesday	5.000000000e+000
5.860000000e+002	2.358000000e+003	2.485156913e+001	Monday	1.395353815e+000	Wednesday	1.000000000e+000
2.850000000e+002	3.410000000e+003	8.357771261e+000	Tuesday	9.220904810e-001	Thursday	2.000000000e+000
1.750000000e+002	3.137000000e+003	5.578578259e+000	Wednesday	7.465235300e-001	Friday	3.000000000e+000
1.760000000e+002	2.816000000e+003	6.250000000e+000	Thursday	7.958800173e-001		4.000000000e+000
2.170000000e+002	2.925000000e+003	7.418803419e+000	Friday	8.703338634e-001		5.000000000e+000
2.100000000e+002	2.764000000e+003	7.597684515e+000	Monday	8.806812560e-001		1.000000000e+000
1.660000000e+002	2.572000000e+003	6.454121306e+000	Tuesday	8.098371238e-001		2.000000000e+000
1.900000000e+002	3.081000000e+003	6.166828952e+000	Wednesday	7.900619027e-001		3.000000000e+000
2.770000000e+002	2.691000000e+003	1.029357116e+001	Thursday	1.012566071e+000		4.000000000e+000
1.980000000e+002	2.826000000e+003	7.006369427e+000	Friday	8.454930328e-001		5.000000000e+000
1.860000000e+002	2.903000000e+003	6.407165002e+000	Monday	8.066659084e-001		1.000000000e+000
1.460000000e+002	3.974000000e+003	3.673880221e+000	Tuesday	5.651249930e-001		2.000000000e+000
1.800000000e+002	3.204000000e+003	5.617977528e+000	Wednesday	7.495799977e-001		3.000000000e+000
2.360000000e+002	3.371000000e+003	7.000889944e+000	Thursday	8.451532505e-001		4.000000000e+000
2.360000000e+002	3.667000000e+003	6.435778566e+000	Friday	8.086010930e-001		5.000000000e+000
2.040000000e+002	2.804000000e+003	7.275320970e+000	Monday	8.618521581e-001		1.000000000e+000
1.690000000e+002	2.772000000e+003	6.096681097e+000	Tuesday	7.850934787e-001		2.000000000e+000
2.660000000e+002	3.135000000e+003	8.484848485e+000	Wednesday	9.286440915e-001		3.000000000e+000
1.600000000e+002	3.229000000e+003	4.955094456e+000	Thursday	6.950519376e-001		4.000000000e+000
2.090000000e+002	2.730000000e+003	7.655677656e+000	Friday	8.839836391e-001		5.000000000e+000
1.280000000e+002	2.124000000e+003	6.026365348e+000	Monday	7.800554572e-001		1.000000000e+000
1.190000000e+002	1.108000000e+003	1.074007220e+001	Wednesday	1.031007201e+000		3.000000000e+000
2.340000000e+002	3.171000000e+003	7.379375591e+000	Thursday	8.680196154e-001		4.000000000e+000
2.210000000e+002	4.004000000e+003	5.519480519e+000	Friday	7.418982048e-001		5.000000000e+000
2.710000000e+002	4.045000000e+003	6.699629172e+000	Monday	8.260507649e-001		1.000000000e+000
2.820000000e+002	3.774000000e+003	7.472178060e+000	Tuesday	8.734472125e-001		2.000000000e+000
2.340000000e+002	3.479000000e+003	6.726070710e+000	Wednesday	8.277614287e-001		3.000000000e+000
2.450000000e+002	3.416000000e+003	7.172131148e+000	Thursday	8.556482224e-001		4.000000000e+000
2.500000000e+002	3.430000000e+003	7.288629738e+000	Friday	8.626458887e-001		5.000000000e+000
2.180000000e+002	3.689000000e+003	5.909460558e+000	Monday	7.715478383e-001		1.000000000e+000
2.460000000e+002	3.279000000e+003	7.502287283e+000	Tuesday	8.751936905e-001		2.000000000e+000
2.120000000e+002	3.522000000e+003	6.019307212e+000	Wednesday	7.795465093e-001		3.000000000e+000
2.620000000e+002	4.037000000e+003	6.489967798e+000	Thursday	8.122425419e-001		4.000000000e+000
2.670000000e+002	3.121000000e+003	8.554950336e+000	Friday	9.322174927e-001		5.000000000e+000
2.690000000e+002	3.034000000e+003	8.866183256e+000	Monday	9.477367035e-001		1.000000000e+000
1.690000000e+002	3.751000000e+003	4.505465209e+000	Tuesday	6.537396404e-001		2.000000000e+000
2.520000000e+002	2.883000000e+003	8.740894901e+000	Wednesday	9.415558984e-001		3.000000000e+000
2.030000000e+002	3.486000000e+003	5.823293173e+000	Thursday	7.651686552e-001		4.000000000e+000
6.970000000e+002	3.154000000e+003	2.209892200e+001	Friday	1.344371089e+000		5.000000000e+000
2.130000000e+002	2.631000000e+003	8.095781072e+000	Monday	9.082587554e-001		1.000000000e+000
2.270000000e+002	3.043000000e+003	7.459743674e+000	Tuesday	8.727239048e-001		2.000000000e+000
2.340000000e+002	3.143000000e+003	7.445116131e+000	Wednesday	8.718714764e-001		3.000000000e+000
2.050000000e+002	3.254000000e+003	6.299938537e+000	Thursday	7.993363124e-001		4.000000000e+000
2.560000000e+002	3.433000000e+003	7.457034664e+000	Friday	8.725661619e-001		5.000000000e+000
2.320000000e+002	3.054000000e+003	7.596594630e+000	Monday	8.806189522e-001		1.000000000e+000
1.950000000e+002	2.696000000e+003	7.232937685e+000	Tuesday	8.593147235e-001		2.000000000e+000
2.140000000e+002	2.455000000e+003	8.716904277e+000	Wednesday	9.403622769e-001		3.000000000e+000
1.900000000e+002	2.224000000e+003	8.543165468e+000	Thursday	9.316188181e-001		4.000000000e+000
2.050000000e+002	2.547000000e+003	8.048684727e+000	Friday	9.057249161e-001		5.000000000e+000
1.950000000e+002	2.259000000e+003	8.632138114e+000	Monday	9.361183804e-001		1.000000000e+000
1.640000000e+002	2.049000000e+003	8.003904344e+000	Tuesday	9.033018897e-001		2.000000000e+000
1.740000000e+002	2.173000000e+003	8.007363092e+000	Wednesday	9.034895219e-001		3.000000000e+000
3.340000000e+002	2.709000000e+003	1.232927279e+001	Thursday	1.090937462e+000		4.000000000e+000
2.320000000e+002	2.671000000e+003	8.685885436e+000	Friday	9.388140969e-001		5.000000000e+000
1.810000000e+002	2.129000000e+003	8.501643964e+000	Monday	9.295029134e-001		1.000000000e+000
1.740000000e+002	2.646000000e+003	6.575963719e+000	Tuesday	8.179594084e-001		2.000000000e+000
1.650000000e+002	2.026000000e+003	8.144126357e+000	Wednesday	9.108445032e-001		3.000000000e+000
1.660000000e+002	2.051000000e+003	8.093612872e+000	Thursday	9.081424277e-001		4.000000000e+000
1.880000000e+002	2.231000000e+003	8.426714478e+000	Friday	9.256582790e-001		5.000000000e+000
1.680000000e+002	2.089000000e+003	8.042125419e+000	Monday	9.053708418e-001		1.000000000e+000
1.610000000e+002	2.188000000e+003	7.358318099e+000	Tuesday	8.667785584e-001		2.000000000e+000
1.630000000e+002	2.959000000e+003	5.508617776e+000	Wednesday	7.410426392e-001		3.000000000e+000
1.830000000e+002	2.810000000e+003	6.512455516e+000	Thursday	8.137447698e-001		4.000000000e+000
2.260000000e+002	2.658000000e+003	8.502633559e+000	Friday	9.295534625e-001		5.000000000e+000
1.400000000e+002	1.958000000e+003	7.150153218e+000	Tuesday	8.543153482e-001		2.000000000e+000
1.900000000e+002	2.609000000e+003	7.282483710e+000	Wednesday	8.622795218e-001		3.000000000e+000
3.480000000e+002	2.560000000e+003	1.359375000e+001	Thursday	1.133339279e+000		4.000000000e+000
1.700000000e+002	2.294000000e+003	7.410636443e+000	Friday	8.698555078e-001		5.000000000e+000
2.410000000e+002	1.887000000e+003	1.277159512e+001	Monday	1.106245142e+000		1.000000000e+000
