Size	Year	MPG
Small	1.989000000e+003	3.200000000e+001
Small	1.989000000e+003	3.100000000e+001
Small	1.989000000e+003	3.200000000e+001
Small	1.989000000e+003	3.300000000e+001
Small	1.989000000e+003	3.200000000e+001
Small	1.994000000e+003	3.400000000e+001
Small	1.994000000e+003	3.600000000e+001
Small	1.994000000e+003	3.500000000e+001
Small	1.994000000e+003	3.400000000e+001
Small	1.994000000e+003	3.600000000e+001
Small	1.999000000e+003	3.700000000e+001
Small	1.999000000e+003	3.900000000e+001
Small	1.999000000e+003	3.800000000e+001
Small	1.999000000e+003	3.800000000e+001
Small	1.999000000e+003	3.800000000e+001
Midsize	1.989000000e+003	2.200000000e+001
Midsize	1.989000000e+003	2.400000000e+001
Midsize	1.989000000e+003	2.600000000e+001
Midsize	1.989000000e+003	2.800000000e+001
Midsize	1.989000000e+003	3.000000000e+001
Midsize	1.994000000e+003	3.300000000e+001
Midsize	1.994000000e+003	3.500000000e+001
Midsize	1.994000000e+003	3.500000000e+001
Midsize	1.994000000e+003	3.500000000e+001
Midsize	1.994000000e+003	3.700000000e+001
Midsize	1.999000000e+003	3.500000000e+001
Midsize	1.999000000e+003	3.600000000e+001
Midsize	1.999000000e+003	3.800000000e+001
Midsize	1.999000000e+003	3.800000000e+001
Midsize	1.999000000e+003	3.800000000e+001
Large	1.989000000e+003	2.400000000e+001
Large	1.989000000e+003	2.400000000e+001
Large	1.989000000e+003	2.600000000e+001
Large	1.989000000e+003	2.800000000e+001
Large	1.989000000e+003	2.800000000e+001
Large	1.994000000e+003	2.700000000e+001
Large	1.994000000e+003	2.700000000e+001
Large	1.994000000e+003	2.700000000e+001
Large	1.994000000e+003	2.400000000e+001
Large	1.994000000e+003	3.000000000e+001
Large	1.999000000e+003	3.500000000e+001
Large	1.999000000e+003	3.600000000e+001
Large	1.999000000e+003	3.600000000e+001
Large	1.999000000e+003	3.600000000e+001
Large	1.999000000e+003	3.700000000e+001
