Auto	Price	Horsepower	Cylinders	Logged price
Acura TL	3.133000000e+004	2.600000000e+002	6.000000000e+000	4.495960395e+000
Acura RSX	2.327000000e+004	2.000000000e+002	4.000000000e+000	4.366796383e+000
Audi A4	4.700000000e+004	3.400000000e+002	8.000000000e+000	4.672097858e+000
Audi TT Quattro	3.900000000e+004	2.500000000e+002	6.000000000e+000	4.591064607e+000
BMW 3-series	5.450000000e+004	3.940000000e+002	6.000000000e+000	4.736396502e+000
Buick Century	2.086000000e+004	1.750000000e+002	6.000000000e+000	4.319314304e+000
Buick LeSabre	3.098500000e+004	2.050000000e+002	6.000000000e+000	4.491151500e+000
Buick Park Avenue	3.922500000e+004	2.400000000e+002	6.000000000e+000	4.593562952e+000
Buick Regal	2.786000000e+004	2.400000000e+002	6.000000000e+000	4.444981112e+000
Cadillac CTS	2.965000000e+004	2.200000000e+002	6.000000000e+000	4.472024698e+000
Cadillac DeVille	4.822500000e+004	3.000000000e+002	8.000000000e+000	4.683272236e+000
Cadillac Seville	5.092500000e+004	3.000000000e+002	8.000000000e+000	4.706931038e+000
Chevrolet Cavalier	1.677500000e+004	1.400000000e+002	4.000000000e+000	4.224662529e+000
Chevrolet Corvette	5.097500000e+004	4.050000000e+002	8.000000000e+000	4.707357234e+000
Chevrolet Impala	2.382500000e+004	2.000000000e+002	6.000000000e+000	4.377032909e+000
Chevrolet Malibu	2.008500000e+004	1.700000000e+002	6.000000000e+000	4.302871836e+000
Chrysler 300M	3.216500000e+004	2.550000000e+002	6.000000000e+000	4.507383556e+000
Chrysler Concorde	2.910500000e+004	2.500000000e+002	6.000000000e+000	4.463967604e+000
Chrysler Sebring	2.976500000e+004	2.000000000e+002	6.000000000e+000	4.473705887e+000
Dodge Intrepid	2.541500000e+004	2.440000000e+002	6.000000000e+000	4.405090114e+000
Dodge Neon	1.945000000e+004	2.150000000e+002	4.000000000e+000	4.288919606e+000
Dodge Stratus	2.196000000e+004	2.000000000e+002	6.000000000e+000	4.341632336e+000
Ford Crown Victoria	2.949500000e+004	2.390000000e+002	8.000000000e+000	4.469748401e+000
Ford Focus	1.908500000e+004	1.700000000e+002	4.000000000e+000	4.280692164e+000
Ford Mustang	3.778000000e+004	3.900000000e+002	8.000000000e+000	4.577261954e+000
Ford Taurus	2.373000000e+004	2.000000000e+002	6.000000000e+000	4.375297738e+000
Ford Thunderbird	3.761500000e+004	2.800000000e+002	8.000000000e+000	4.575361066e+000
Honda Accord	2.590000000e+004	2.400000000e+002	6.000000000e+000	4.413299764e+000
Honda Civic	1.955000000e+004	1.600000000e+002	4.000000000e+000	4.291146762e+000
Honda S2000	3.260000000e+004	2.400000000e+002	4.000000000e+000	4.513217600e+000
Hyundai Elantra	1.414900000e+004	1.340000000e+002	4.000000000e+000	4.150725747e+000
Hyundai Sonata	1.832400000e+004	1.700000000e+002	6.000000000e+000	4.263020283e+000
Hyundai Tiburon	1.799900000e+004	1.700000000e+002	6.000000000e+000	4.255248377e+000
Hyundai XG350	2.559900000e+004	1.940000000e+002	6.000000000e+000	4.408223000e+000
Infiniti G35	2.910000000e+004	2.800000000e+002	6.000000000e+000	4.463892989e+000
Infiniti I35	2.895000000e+004	2.550000000e+002	6.000000000e+000	4.461648568e+000
Infiniti M45	4.230000000e+004	3.400000000e+002	8.000000000e+000	4.626340367e+000
Infiniti Q45	6.110000000e+004	3.400000000e+002	8.000000000e+000	4.786041210e+000
Jaguar S-Type	6.175500000e+004	4.000000000e+002	8.000000000e+000	4.790672126e+000
Jaguar X-Type	3.630500000e+004	2.310000000e+002	6.000000000e+000	4.559966441e+000
Kia Optima	1.949500000e+004	1.700000000e+002	6.000000000e+000	4.289923240e+000
Kia Spectra	1.386500000e+004	1.260000000e+002	4.000000000e+000	4.141919874e+000
Lexus ES300	3.162500000e+004	2.100000000e+002	6.000000000e+000	4.500030534e+000
Lexus GS300	4.782500000e+004	3.000000000e+002	6.000000000e+000	4.679654979e+000
Lexus IS300	3.080500000e+004	2.150000000e+002	6.000000000e+000	4.488621213e+000
Lexus LS430	5.492500000e+004	2.900000000e+002	8.000000000e+000	4.739770066e+000
Lincoln LS	4.006000000e+004	2.800000000e+002	8.000000000e+000	4.602710945e+000
Lincoln Town Car	5.100000000e+004	2.390000000e+002	8.000000000e+000	4.707570176e+000
Mazda Protege	1.998000000e+004	1.700000000e+002	4.000000000e+000	4.300595484e+000
Mazda6	2.400000000e+004	2.200000000e+002	6.000000000e+000	4.380211242e+000
Mercedes-Benz C-Class	5.040000000e+004	3.490000000e+002	6.000000000e+000	4.702430536e+000
Mercedes-Benz E-Class	7.300000000e+004	4.690000000e+002	8.000000000e+000	4.863322860e+000
Mercedes-Benz S-Class	1.205400000e+005	4.930000000e+002	8.000000000e+000	5.081131187e+000
Mercury Grand Marquis	3.377000000e+004	3.020000000e+002	8.000000000e+000	4.528531061e+000
Mercury Sable	2.391000000e+004	2.000000000e+002	6.000000000e+000	4.378579576e+000
