Duration	Interval
4.000000000e+000	7.100000000e+001
2.200000048e+000	5.700000000e+001
	8.000000000e+001
	7.500000000e+001
	5.500000000e+001
	6.000000000e+001
4.400000095e+000	8.600000000e+001
4.300000191e+000	7.700000000e+001
2.000000000e+000	5.600000000e+001
4.800000191e+000	8.100000000e+001
1.799999952e+000	5.000000000e+001
5.500000000e+000	8.900000000e+001
1.600000024e+000	5.400000000e+001
4.900000095e+000	9.000000000e+001
4.400000095e+000	7.300000000e+001
1.799999952e+000	6.000000000e+001
4.699999809e+000	8.300000000e+001
	6.500000000e+001
4.800000191e+000	8.200000000e+001
4.199999809e+000	8.400000000e+001
1.899999976e+000	5.400000000e+001
5.000000000e+000	8.500000000e+001
	5.800000000e+001
	7.900000000e+001
	5.700000000e+001
	8.800000000e+001
2.799999952e+000	6.800000000e+001
4.500000000e+000	7.600000000e+001
4.099999905e+000	7.800000000e+001
3.700000048e+000	7.400000000e+001
3.500000000e+000	8.500000000e+001
4.500000000e+000	7.500000000e+001
2.200000048e+000	6.500000000e+001
4.900000095e+000	7.600000000e+001
2.599999905e+000	5.800000000e+001
4.199999809e+000	9.100000000e+001
2.200000048e+000	5.000000000e+001
4.800000191e+000	8.700000000e+001
1.799999952e+000	4.800000000e+001
4.599999905e+000	9.300000000e+001
2.299999952e+000	5.400000000e+001
4.099999905e+000	8.600000000e+001
	5.300000000e+001
	7.800000000e+001
	5.200000000e+001
	8.300000000e+001
1.899999976e+000	6.000000000e+001
4.300000191e+000	8.700000000e+001
2.099999905e+000	4.900000000e+001
4.500000000e+000	8.000000000e+001
2.200000048e+000	6.000000000e+001
4.000000000e+000	9.200000000e+001
1.799999952e+000	4.300000000e+001
4.300000191e+000	8.900000000e+001
2.200000048e+000	6.000000000e+001
4.500000000e+000	8.400000000e+001
3.900000095e+000	6.900000000e+001
3.299999952e+000	7.400000000e+001
3.700000048e+000	7.100000000e+001
4.000000000e+000	1.080000000e+002
1.899999976e+000	5.000000000e+001
5.300000191e+000	7.700000000e+001
	5.700000000e+001
	8.000000000e+001
	6.100000000e+001
	8.200000000e+001
	4.800000000e+001
	8.100000000e+001
3.500000000e+000	7.300000000e+001
2.200000048e+000	6.200000000e+001
4.500000000e+000	7.900000000e+001
2.000000000e+000	5.400000000e+001
4.199999809e+000	8.000000000e+001
4.199999809e+000	7.300000000e+001
4.300000191e+000	8.100000000e+001
1.899999976e+000	6.200000000e+001
4.699999809e+000	8.100000000e+001
3.799999952e+000	7.100000000e+001
4.000000000e+000	7.900000000e+001
4.199999809e+000	8.100000000e+001
4.699999809e+000	7.400000000e+001
1.799999952e+000	5.900000000e+001
	8.100000000e+001
	6.600000000e+001
	8.700000000e+001
	5.300000000e+001
4.500000000e+000	8.000000000e+001
2.099999905e+000	5.000000000e+001
4.300000191e+000	8.700000000e+001
1.899999976e+000	5.100000000e+001
4.699999809e+000	8.200000000e+001
1.700000048e+000	5.800000000e+001
4.400000095e+000	8.100000000e+001
1.799999952e+000	4.900000000e+001
4.599999905e+000	9.200000000e+001
1.899999976e+000	5.000000000e+001
4.500000000e+000	8.800000000e+001
1.600000024e+000	6.200000000e+001
5.000000000e+000	9.300000000e+001
1.799999952e+000	5.600000000e+001
5.099999905e+000	8.900000000e+001
1.600000024e+000	5.100000000e+001
4.300000191e+000	7.900000000e+001
	5.800000000e+001
	8.200000000e+001
	5.200000000e+001
4.500000000e+000	8.800000000e+001
2.000000000e+000	5.200000000e+001
	7.800000000e+001
2.900000095e+000	6.900000000e+001
4.699999809e+000	7.500000000e+001
3.900000095e+000	7.700000000e+001
2.000000000e+000	5.300000000e+001
4.099999905e+000	8.000000000e+001
1.799999952e+000	5.500000000e+001
4.699999809e+000	8.700000000e+001
1.799999952e+000	5.300000000e+001
4.699999809e+000	8.500000000e+001
2.099999905e+000	6.100000000e+001
4.800000191e+000	9.300000000e+001
1.799999952e+000	5.400000000e+001
4.099999905e+000	7.600000000e+001
4.699999809e+000	8.000000000e+001
	8.100000000e+001
	5.900000000e+001
	8.600000000e+001
	7.800000000e+001
4.199999809e+000	7.100000000e+001
4.099999905e+000	7.700000000e+001
3.900000095e+000	7.600000000e+001
3.799999952e+000	9.400000000e+001
4.400000095e+000	7.500000000e+001
2.500000000e+000	5.000000000e+001
4.199999809e+000	8.300000000e+001
3.799999952e+000	8.200000000e+001
4.300000191e+000	7.200000000e+001
3.900000095e+000	7.700000000e+001
4.699999809e+000	7.500000000e+001
1.700000048e+000	6.500000000e+001
5.000000000e+000	7.900000000e+001
4.300000191e+000	7.200000000e+001
4.599999905e+000	7.800000000e+001
	7.700000000e+001
	7.900000000e+001
	7.500000000e+001
	7.800000000e+001
2.000000000e+000	6.400000000e+001
4.599999905e+000	8.000000000e+001
8.000000119e-001	4.900000000e+001
4.900000095e+000	8.800000000e+001
1.700000048e+000	5.400000000e+001
4.599999905e+000	8.500000000e+001
1.700000048e+000	5.100000000e+001
4.800000191e+000	9.600000000e+001
1.799999952e+000	5.000000000e+001
4.500000000e+000	8.000000000e+001
1.899999976e+000	7.800000000e+001
4.500000000e+000	8.100000000e+001
4.500000000e+000	7.200000000e+001
4.000000000e+000	7.500000000e+001
4.800000191e+000	7.800000000e+001
	8.700000000e+001
	6.900000000e+001
	5.500000000e+001
	8.300000000e+001
1.899999976e+000	4.900000000e+001
4.599999905e+000	8.200000000e+001
2.000000000e+000	5.700000000e+001
3.700000048e+000	8.400000000e+001
2.900000095e+000	5.700000000e+001
4.800000191e+000	8.400000000e+001
3.400000095e+000	7.300000000e+001
4.400000095e+000	7.800000000e+001
1.799999952e+000	5.700000000e+001
4.400000095e+000	7.900000000e+001
2.500000000e+000	5.700000000e+001
4.500000000e+000	9.000000000e+001
2.099999905e+000	6.200000000e+001
4.300000191e+000	8.700000000e+001
4.300000191e+000	7.800000000e+001
1.799999952e+000	5.200000000e+001
4.900000095e+000	9.800000000e+001
1.799999952e+000	4.800000000e+001
	7.800000000e+001
	7.900000000e+001
	6.500000000e+001
3.900000095e+000	8.400000000e+001
1.899999976e+000	5.000000000e+001
4.699999809e+000	8.300000000e+001
2.000000000e+000	6.000000000e+001
4.500000000e+000	8.000000000e+001
1.899999976e+000	5.000000000e+001
4.199999809e+000	8.800000000e+001
1.899999976e+000	5.000000000e+001
4.300000191e+000	8.400000000e+001
3.299999952e+000	7.400000000e+001
4.199999809e+000	7.600000000e+001
1.899999976e+000	6.500000000e+001
5.000000000e+000	8.900000000e+001
1.899999976e+000	4.900000000e+001
4.000000000e+000	8.800000000e+001
2.000000000e+000	5.100000000e+001
4.800000191e+000	7.800000000e+001
	8.500000000e+001
	6.500000000e+001
	7.500000000e+001
	7.700000000e+001
2.400000095e+000	6.900000000e+001
4.400000095e+000	9.200000000e+001
4.199999809e+000	6.800000000e+001
4.400000095e+000	8.700000000e+001
2.000000000e+000	6.100000000e+001
4.500000000e+000	8.100000000e+001
1.799999952e+000	5.500000000e+001
4.500000000e+000	9.300000000e+001
1.600000024e+000	5.300000000e+001
4.699999809e+000	8.400000000e+001
2.599999905e+000	7.000000000e+001
3.700000048e+000	7.300000000e+001
4.199999809e+000	9.300000000e+001
1.899999976e+000	5.000000000e+001
4.400000095e+000	8.700000000e+001
	7.700000000e+001
	7.400000000e+001
	7.200000000e+001
4.199999809e+000	8.200000000e+001
4.000000000e+000	7.400000000e+001
4.099999905e+000	8.000000000e+001
1.899999976e+000	4.900000000e+001
4.500000000e+000	9.100000000e+001
2.000000000e+000	5.300000000e+001
4.199999809e+000	8.600000000e+001
1.700000048e+000	4.900000000e+001
4.500000000e+000	7.900000000e+001
4.300000191e+000	8.900000000e+001
4.000000000e+000	8.700000000e+001
4.400000095e+000	7.600000000e+001
2.000000000e+000	5.900000000e+001
4.500000000e+000	8.000000000e+001
4.300000191e+000	8.900000000e+001
1.899999976e+000	4.500000000e+001
4.400000095e+000	9.300000000e+001
	7.200000000e+001
	7.100000000e+001
	5.400000000e+001
	7.900000000e+001
3.299999952e+000	7.400000000e+001
1.799999952e+000	6.500000000e+001
4.599999905e+000	7.800000000e+001
1.799999952e+000	5.700000000e+001
4.599999905e+000	8.700000000e+001
4.599999905e+000	7.200000000e+001
4.500000000e+000	8.400000000e+001
1.899999976e+000	4.700000000e+001
5.000000000e+000	8.400000000e+001
2.000000000e+000	5.700000000e+001
4.300000191e+000	8.700000000e+001
4.199999809e+000	6.800000000e+001
4.500000000e+000	8.600000000e+001
4.400000095e+000	7.500000000e+001
4.599999905e+000	7.300000000e+001
	5.300000000e+001
	8.200000000e+001
	9.300000000e+001
3.900000095e+000	7.700000000e+001
	5.400000000e+001
4.500000000e+000	9.600000000e+001
1.799999952e+000	4.800000000e+001
4.000000000e+000	8.900000000e+001
2.799999952e+000	6.300000000e+001
4.699999809e+000	8.400000000e+001
4.000000000e+000	7.600000000e+001
2.000000000e+000	6.200000000e+001
5.000000000e+000	8.300000000e+001
1.899999976e+000	5.000000000e+001
4.800000191e+000	8.500000000e+001
	7.800000000e+001
	7.800000000e+001
	8.100000000e+001
	7.800000000e+001
	7.600000000e+001
	7.400000000e+001
	8.100000000e+001
	6.600000000e+001
	8.400000000e+001
1.899999976e+000	4.800000000e+001
4.300000191e+000	9.300000000e+001
1.700000048e+000	4.700000000e+001
4.800000191e+000	8.700000000e+001
2.000000000e+000	5.100000000e+001
4.699999809e+000	7.800000000e+001
1.899999976e+000	5.400000000e+001
4.400000095e+000	8.700000000e+001
2.099999905e+000	5.200000000e+001
4.099999905e+000	8.500000000e+001
2.099999905e+000	5.800000000e+001
	8.800000000e+001
	7.900000000e+001
