Quarter	Year	Time	Housing starts	Mortgage Rates	Home Depot revenues	Log HD revenues	First half	Time squared
Q1	1990	1.000000000e+000	2.946000000e+000	1.012030000e+001	6.415200000e+002	2.807210200e+000	1.000000000e+000	1.000000000e+000
Q2	1990	2.000000000e+000	3.579000000e+000	1.033730000e+001	7.040300000e+002	2.847591166e+000	1.000000000e+000	4.000000000e+000
Q3	1990	3.000000000e+000	3.071000000e+000	1.010340000e+001	6.997400000e+002	2.844936701e+000	0.000000000e+000	9.000000000e+000
Q4	1990	4.000000000e+000	2.330000000e+000	9.954800000e+000	7.132500000e+002	2.853241780e+000	0.000000000e+000	1.600000000e+001
Q1	1991	5.000000000e+000	1.854000000e+000	9.500900000e+000	8.808600000e+002	2.944906889e+000	1.000000000e+000	2.500000000e+001
Q2	1991	6.000000000e+000	3.008000000e+000	9.526600000e+000	9.903500000e+002	2.995788706e+000	1.000000000e+000	3.600000000e+001
Q3	1991	7.000000000e+000	2.848000000e+000	9.275600000e+000	9.366100000e+002	2.971558790e+000	0.000000000e+000	4.900000000e+001
Q4	1991	8.000000000e+000	2.430000000e+000	8.688300000e+000	1.007540000e+003	3.003262297e+000	0.000000000e+000	6.400000000e+001
Q1	1992	9.000000000e+000	2.620000000e+000	8.709900000e+000	1.186890000e+003	3.074410471e+000	1.000000000e+000	8.100000000e+001
Q2	1992	1.000000000e+001	3.406000000e+000	8.678300000e+000	1.352790000e+003	3.131230384e+000	1.000000000e+000	1.000000000e+002
Q3	1992	1.100000000e+001	3.221000000e+000	8.008600000e+000	1.298280000e+003	3.113368367e+000	0.000000000e+000	1.210000000e+002
Q4	1992	1.200000000e+001	2.749000000e+000	8.205300000e+000	1.298710000e+003	3.113512185e+000	0.000000000e+000	1.440000000e+002
Q1	1993	1.300000000e+001	2.406000000e+000	7.733300000e+000	1.639570000e+003	3.214729963e+000	1.000000000e+000	1.690000000e+002
Q2	1993	1.400000000e+001	3.672000000e+000	7.451600000e+000	1.856380000e+003	3.268666881e+000	1.000000000e+000	1.960000000e+002
Q3	1993	1.500000000e+001	3.556000000e+000	7.077900000e+000	1.834010000e+003	3.263401699e+000	0.000000000e+000	2.250000000e+002
Q4	1993	1.600000000e+001	3.242000000e+000	7.053800000e+000	1.818470000e+003	3.259706141e+000	0.000000000e+000	2.560000000e+002
Q1	1994	1.700000000e+001	2.940000000e+000	7.295900000e+000	2.180220000e+003	3.338500319e+000	1.000000000e+000	2.890000000e+002
Q2	1994	1.800000000e+001	4.228000000e+000	8.437100000e+000	2.453760000e+003	3.389832083e+000	1.000000000e+000	3.240000000e+002
Q3	1994	1.900000000e+001	3.977000000e+000	8.588300000e+000	2.317370000e+003	3.364995380e+000	0.000000000e+000	3.610000000e+002
Q4	1994	2.000000000e+001	3.425000000e+000	9.097800000e+000	2.287420000e+003	3.359345914e+000	0.000000000e+000	4.000000000e+002
Q1	1995	2.100000000e+001	2.699000000e+000	8.812400000e+000	2.872130000e+003	3.458204093e+000	1.000000000e+000	4.410000000e+002
Q2	1995	2.200000000e+001	3.708000000e+000	7.947100000e+000	3.287040000e+003	3.516804989e+000	1.000000000e+000	4.840000000e+002
Q3	1995	2.300000000e+001	3.873000000e+000	7.701300000e+000	3.240050000e+003	3.510551712e+000	0.000000000e+000	5.290000000e+002
Q4	1995	2.400000000e+001	3.262000000e+000	7.350900000e+000	3.077480000e+003	3.488195239e+000	0.000000000e+000	5.760000000e+002
Q1	1996	2.500000000e+001	3.026000000e+000	7.243100000e+000	3.568960000e+003	3.552541681e+000	1.000000000e+000	6.250000000e+002
Q2	1996	2.600000000e+001	4.285000000e+000	8.105100000e+000	4.151720000e+003	3.618228056e+000	1.000000000e+000	6.760000000e+002
Q3	1996	2.700000000e+001	4.104000000e+000	8.159100000e+000	3.997790000e+003	3.601819977e+000	0.000000000e+000	7.290000000e+002
Q4	1996	2.800000000e+001	3.354000000e+000	7.710300000e+000	3.751880000e+003	3.574248939e+000	0.000000000e+000	7.840000000e+002
Q1	1997	2.900000000e+001	2.973000000e+000	7.790600000e+000	4.362210000e+003	3.639706569e+000	1.000000000e+000	8.410000000e+002
Q2	1997	3.000000000e+001	4.190000000e+000	7.925600000e+000	5.292920000e+003	3.723695330e+000	1.000000000e+000	9.000000000e+002
Q3	1997	3.100000000e+001	4.003000000e+000	7.469300000e+000	4.921830000e+003	3.692126609e+000	0.000000000e+000	9.610000000e+002
Q4	1997	3.200000000e+001	3.574000000e+000	7.198100000e+000	4.958540000e+003	3.695353821e+000	0.000000000e+000	1.024000000e+003
Q1	1998	3.300000000e+001	3.249000000e+000	7.054800000e+000	5.657270000e+003	3.752606906e+000	1.000000000e+000	1.089000000e+003
Q2	1998	3.400000000e+001	4.478000000e+000	7.093900000e+000	6.550220000e+003	3.816255887e+000	1.000000000e+000	1.156000000e+003
Q3	1998	3.500000000e+001	4.450000000e+000	6.865800000e+000	6.217040000e+003	3.793583662e+000	0.000000000e+000	1.225000000e+003
Q4	1998	3.600000000e+001	3.993000000e+000	6.763400000e+000	5.731460000e+003	3.758265266e+000	0.000000000e+000	1.296000000e+003
Q1	1999	3.700000000e+001	3.695000000e+000	6.880600000e+000	7.123000000e+003	3.852662944e+000	1.000000000e+000	1.369000000e+003
Q2	1999	3.800000000e+001	4.545000000e+000	7.203800000e+000	8.139000000e+003	3.910571048e+000	1.000000000e+000	1.444000000e+003
Q3	1999	3.900000000e+001	4.525000000e+000	7.799100000e+000	7.699000000e+003	3.886434320e+000	0.000000000e+000	1.521000000e+003
