Date	Price	Prime Rate	Industrial production index	Logged price	Time	Timesq	Lagged logged price	Logged price difference	Return
Dec 97	52			3.9512437185814275	0	0			
Jan98	49.08	8.5	83.9719	3.8934516198427107	1	1	3.9512437185814275	-0.057792098738716824	-0.05615384615384622
Feb98	52.01	8.5	84.0422	3.9514360077849813	2	4	3.8934516198427107	0.057984387942270565	0.059698451507742556
Mar98	51.73	8.5	84.1094	3.9460378840154235	3	9	3.9514360077849813	-0.005398123769557728	-0.0053835800807536804
Apr98	57.7	8.5	84.402	4.055257173514054	4	16	3.9460378840154235	0.10921928949863036	0.11540692054900448
May98	58.62	8.5	84.9233	4.071075935282746	5	25	4.055257173514054	0.015818761768692013	0.015944540727902856
Jun98	57.28	8.5	84.3698	4.04795152265239	6	36	4.071075935282746	-0.023124412630355806	-0.022859092459911245
Jul98	66.1	8.5	84.0508	4.191168746857641	7	49	4.04795152265239	0.14321722420525074	0.15398044692737423
Aug98	56.3	8.5	85.7994	4.030694535145645	8	64	4.191168746857641	-0.16047421171199616	-0.14826021180030258
Sep98	64.23	8.5	85.5797	4.162470391269701	9	81	4.030694535145645	0.1317758561240563	0.14085257548845487
Oct98	74.23	8.5	86.241	4.307168381129456	10	100	4.162470391269701	0.1446979898597549	0.15569048731122526
Nov98	82.65	8.25	86.206	4.4146148242670336	11	121	4.307168381129456	0.10744644313757767	0.11343122726660382
Dec98	92.29	8	86.5085	4.524935793277486	12	144	4.4146148242670336	0.11032096901045207	0.11663641863278884
Jan99	91.72	7.75	86.9117	4.518740457989703	13	169	4.524935793277486	-0.0061953352877823775	-0.006176183768555665
Feb99	85.08	7.75	87.3052	4.4435919903320364	14	196	4.518740457989703	-0.0751484676576668	-0.07239424334932398
Mar99	88.84	7.75	87.4728	4.4868369990262265	15	225	4.4435919903320364	0.04324500869419001	0.04419370004701473
Apr99	104.84	7.75	87.6419	4.6524353784552055	16	256	4.4868369990262265	0.16559837942897904	0.18009905447996388
May99	116.4	7.75	88.3165	4.757032535297338	17	289	4.6524353784552055	0.10459715684213222	0.11026325829835937
Jun99	129.69	7.75	88.1778	4.86514698734765	18	324	4.757032535297338	0.10811445205031234	0.11417525773195858
