Length of Service	CAP	PA normalized	Minority	Laid off
3.170000000e+000	7.000000000e+000	3.330000000e+000	1.000000000e+000	1.000000000e+000
4.470000000e+000	8.000000000e+000	3.330000000e+000	1.000000000e+000	1.000000000e+000
6.900000000e-001	1.100000000e+001	4.440000000e+000	1.000000000e+000	1.000000000e+000
1.520000000e+000	1.600000000e+001	1.110000000e+000	1.000000000e+000	1.000000000e+000
7.430000000e+000	6.000000000e+000	1.332000000e+001	1.000000000e+000	1.000000000e+000
1.095000000e+001	7.000000000e+000	1.444000000e+001	1.000000000e+000	1.000000000e+000
9.530000000e+000	7.000000000e+000	1.668000000e+001	1.000000000e+000	1.000000000e+000
6.410000000e+000	1.600000000e+001	9.990000000e+000	1.000000000e+000	1.000000000e+000
7.410000000e+000	1.500000000e+001	1.332000000e+001	0.000000000e+000	1.000000000e+000
7.000000000e+000	1.300000000e+001	1.556000000e+001	1.000000000e+000	1.000000000e+000
1.820000000e+000	2.700000000e+001	3.330000000e+000	1.000000000e+000	1.000000000e+000
7.780000000e+000	1.100000000e+001	1.779000000e+001	0.000000000e+000	1.000000000e+000
8.760000000e+000	1.200000000e+001	1.668000000e+001	1.000000000e+000	1.000000000e+000
7.000000000e+000	1.600000000e+001	1.332000000e+001	1.000000000e+000	1.000000000e+000
7.390000000e+000	1.300000000e+001	1.668000000e+001	0.000000000e+000	1.000000000e+000
1.552000000e+001	1.500000000e+001	1.223000000e+001	1.000000000e+000	1.000000000e+000
6.840000000e+000	1.600000000e+001	1.444000000e+001	1.000000000e+000	1.000000000e+000
6.840000000e+000	1.300000000e+001	1.779000000e+001	0.000000000e+000	1.000000000e+000
2.191000000e+001	8.000000000e+000	1.779000000e+001	1.000000000e+000	1.000000000e+000
8.640000000e+000	1.400000000e+001	1.668000000e+001	1.000000000e+000	0.000000000e+000
1.520000000e+000	3.200000000e+001	1.110000000e+000	0.000000000e+000	0.000000000e+000
7.330000000e+000	1.800000000e+001	1.332000000e+001	1.000000000e+000	0.000000000e+000
