Date,Quarter,Year,Mortgage,Housing starts,Sales,Log Sales,Time,Time sq,Q1,Q2,Q3
Apr-83,Q1,1983,13.1,3.667,299.532,2.476443226,1,1,1,0,0
Jul-83,Q2,1983,13.08,5.097,418.057,2.6212355,2,4,0,1,0
Oct-83,Q3,1983,13.8,4.91,381.961,2.582019022,3,9,0,0,1
Jan-84,Q4,1984,13.42,3.534,331.026,2.519862106,4,16,0,0,0
Apr-84,Q1,1984,13.34,4.402,380.3,2.580126325,5,25,1,0,0
Jul-84,Q2,1984,14.39,5.268,484.9,2.685652184,6,36,0,1,0
Oct-84,Q3,1984,14.11,4.482,447.7,2.650987094,7,49,0,0,1
Jan-85,Q4,1985,13.09,3.305,375.8,2.574956776,8,64,0,0,0
Apr-85,Q1,1985,13,4.162,452.3,2.655426588,9,81,1,0,0
Jul-85,Q2,1985,12.08,4.941,595.6,2.774954689,10,100,0,1,0
Oct-85,Q3,1985,11.98,4.814,549,2.739572344,11,121,0,0,1
Jan-86,Q4,1986,11.23,3.602,475.6,2.677241846,12,144,0,0,0
Apr-86,Q1,1986,10.31,4.464,533.992,2.727534751,13,169,1,0,0
Jul-86,Q2,1986,10.45,5.422,657.845,2.818123578,14,196,0,1,0
Oct-86,Q3,1986,10.12,4.726,594.275,2.773987461,15,225,0,0,1
Jan-87,Q4,1987,9.51,3.337,497.368,2.69667784,16,256,0,0,0
Apr-87,Q1,1987,9.38,4.033,569.135,2.755215294,17,289,1,0,0
Jul-87,Q2,1987,10.53,4.733,725.057,2.86037215,18,324,0,1,0
Oct-87,Q3,1987,10.91,4.347,645.558,2.809935267,19,361,0,0,1
Jan-88,Q4,1988,10.72,2.824,502.427,2.70107297,20,400,0,0,0
Apr-88,Q1,1988,10.11,3.722,590.599,2.771292707,21,441,1,0,0
Jul-88,Q2,1988,10.55,4.274,704.606,2.847946337,22,484,0,1,0
Oct-88,Q3,1988,10.57,4.03,652.122,2.814328852,23,529,0,0,1
Jan-89,Q4,1989,10.64,3.073,569.552,2.755533381,24,576,0,0,0
Apr-89,Q1,1989,11.03,3.33,602.13,2.779690266,25,625,1,0,0
Jul-89,Q2,1989,10.42,4.096,746.2,2.872855245,26,676,0,1,0
Oct-89,Q3,1989,10.13,3.618,702.67,2.846751412,27,729,0,0,1
Jan-90,Q4,1990,9.91,2.708,599.55,2.777825407,28,784,0,0,0
Apr-90,Q1,1990,10.34,3.144,720.91,2.85788105,29,841,1,0,0
Jul-90,Q2,1990,10.29,3.501,818.05,2.912779849,30,900,0,1,0
Oct-90,Q3,1990,10.22,2.901,708.12,2.850106861,31,961,0,0,1
Jan-91,Q4,1991,9.85,1.913,586.02,2.767912438,32,1024,0,0,0
Apr-91,Q1,1991,9.56,2.326,693.35,2.84095252,33,1089,1,0,0
Jul-91,Q2,1991,9.67,3.046,863.01,2.936015828,34,1156,0,1,0
Oct-91,Q3,1991,9.13,2.831,790.27,2.897775496,35,1225,0,0,1
Jan-92,Q4,1992,8.65,2.128,709.61,2.851019727,36,1296,0,0,0
Apr-92,Q1,1992,8.94,2.98,883.283,2.946099872,37,1369,1,0,0
Jul-92,Q2,1992,8.54,3.392,1061.645,3.025979319,38,1444,0,1,0
Oct-92,Q3,1992,8.08,3.277,991.1919,2.996157744,39,1521,0,0,1
Jan-93,Q4,1993,8.33,2.336,910.2979,2.959183541,40,1600,0,0,0
Apr-93,Q1,1993,7.64,2.879,992.1118,2.996560615,41,1681,1,0,0
Jul-93,Q2,1993,7.42,3.647,1241.6909,3.094013498,42,1764,0,1,0
Oct-93,Q3,1993,6.98,3.636,1158.3699,3.063847264,43,1849,0,0,1
