Date	Quarter	Year	Mortgage	Housing starts	Sales	Log Sales	Time	Time sq	Q1	Q2	Q3
Apr-83	Q1	1.983000000e+003	1.310000000e+001	3.667000000e+000	2.995320000e+002	2.476443226e+000	1.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
Jul-83	Q2	1.983000000e+003	1.308000000e+001	5.097000000e+000	4.180570000e+002	2.621235500e+000	2.000000000e+000	4.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000
Oct-83	Q3	1.983000000e+003	1.380000000e+001	4.910000000e+000	3.819610000e+002	2.582019022e+000	3.000000000e+000	9.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000
Jan-84	Q4	1.984000000e+003	1.342000000e+001	3.534000000e+000	3.310260000e+002	2.519862106e+000	4.000000000e+000	1.600000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
Apr-84	Q1	1.984000000e+003	1.334000000e+001	4.402000000e+000	3.803000000e+002	2.580126325e+000	5.000000000e+000	2.500000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
Jul-84	Q2	1.984000000e+003	1.439000000e+001	5.268000000e+000	4.849000000e+002	2.685652184e+000	6.000000000e+000	3.600000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
Oct-84	Q3	1.984000000e+003	1.411000000e+001	4.482000000e+000	4.477000000e+002	2.650987094e+000	7.000000000e+000	4.900000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
Jan-85	Q4	1.985000000e+003	1.309000000e+001	3.305000000e+000	3.758000000e+002	2.574956776e+000	8.000000000e+000	6.400000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
Apr-85	Q1	1.985000000e+003	1.300000000e+001	4.162000000e+000	4.523000000e+002	2.655426588e+000	9.000000000e+000	8.100000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
Jul-85	Q2	1.985000000e+003	1.208000000e+001	4.941000000e+000	5.956000000e+002	2.774954689e+000	1.000000000e+001	1.000000000e+002	0.000000000e+000	1.000000000e+000	0.000000000e+000
