No. of attempts	Yr of exp	Time (days)	Female	Business Major	GPA	GMAT
1.000000000e+000	5.000000000e+000	3.000000000e+000	0.000000000e+000	0.000000000e+000	3.600000000e+000	6.800000000e+002
1.000000000e+000	3.000000000e+000	2.500000000e+001	0.000000000e+000	1.000000000e+000	3.600000000e+000	6.900000000e+002
1.000000000e+000	1.000000000e+000	1.000000000e+001	1.000000000e+000	0.000000000e+000	3.270000000e+000	7.200000000e+002
1.000000000e+000	4.000000000e+000	2.500000000e+001	1.000000000e+000	0.000000000e+000	3.500000000e+000	7.000000000e+002
1.000000000e+000	2.500000000e+000	1.800000000e+001	1.000000000e+000	1.000000000e+000	3.700000000e+000	7.100000000e+002
1.000000000e+000	7.000000000e+000	3.000000000e+000	0.000000000e+000	1.000000000e+000	3.700000000e+000	7.300000000e+002
3.000000000e+000	4.000000000e+000	2.500000000e+001	1.000000000e+000	1.000000000e+000	3.600000000e+000	7.100000000e+002
1.000000000e+000	1.000000000e+000	1.000000000e+001	1.000000000e+000	1.000000000e+000	3.700000000e+000	7.000000000e+002
1.000000000e+000	1.500000000e+000	1.400000000e+001	1.000000000e+000	0.000000000e+000	3.300000000e+000	7.000000000e+002
3.000000000e+000	1.500000000e+000	2.500000000e+001	1.000000000e+000	1.000000000e+000	3.860000000e+000	6.900000000e+002
1.000000000e+000	1.000000000e+000	1.800000000e+001	1.000000000e+000	1.000000000e+000	3.400000000e+000	6.500000000e+002
1.000000000e+000	8.000000000e+000	5.000000000e+000	0.000000000e+000	0.000000000e+000	3.500000000e+000	7.200000000e+002
1.000000000e+000	2.500000000e+000	3.000000000e+000	0.000000000e+000	0.000000000e+000	3.400000000e+000	7.000000000e+002
1.000000000e+000	3.000000000e+000	1.000000000e+001	0.000000000e+000	0.000000000e+000	3.650000000e+000	6.900000000e+002
2.000000000e+000	2.000000000e+000	2.000000000e+001	1.000000000e+000	1.000000000e+000	3.900000000e+000	7.100000000e+002
1.000000000e+000	2.000000000e+000	1.800000000e+001	0.000000000e+000	0.000000000e+000	3.400000000e+000	6.800000000e+002
1.000000000e+000	5.000000000e+000	1.000000000e+001	0.000000000e+000	1.000000000e+000	3.500000000e+000	7.000000000e+002
1.000000000e+000	3.000000000e+000	1.500000000e+001	0.000000000e+000	0.000000000e+000	3.500000000e+000	6.900000000e+002
2.000000000e+000	3.000000000e+000	5.000000000e+000	0.000000000e+000	1.000000000e+000	3.400000000e+000	7.100000000e+002
1.000000000e+000	4.000000000e+000	1.000000000e+001	0.000000000e+000	0.000000000e+000	3.300000000e+000	6.800000000e+002
1.000000000e+000	8.000000000e+000	1.500000000e+001	0.000000000e+000	0.000000000e+000	3.900000000e+000	7.300000000e+002
1.000000000e+000	4.000000000e+000	2.200000000e+001	1.000000000e+000	0.000000000e+000	3.200000000e+000	6.600000000e+002
2.000000000e+000	1.500000000e+000	5.000000000e+000	1.000000000e+000	0.000000000e+000	3.500000000e+000	6.700000000e+002
1.000000000e+000	1.000000000e+000	3.000000000e+000	0.000000000e+000	1.000000000e+000	3.500000000e+000	7.000000000e+002
1.000000000e+000	2.000000000e+000	7.000000000e+000	1.000000000e+000	1.000000000e+000	3.450000000e+000	6.900000000e+002
1.000000000e+000	4.000000000e+000	1.000000000e+001	1.000000000e+000	1.000000000e+000	3.300000000e+000	7.100000000e+002
1.000000000e+000	3.000000000e+000	5.000000000e+000	0.000000000e+000	0.000000000e+000	3.300000000e+000	7.000000000e+002
2.000000000e+000	3.000000000e+000	3.000000000e+000	0.000000000e+000	1.000000000e+000	3.700000000e+000	7.200000000e+002
1.000000000e+000	7.000000000e+000	2.000000000e+001	1.000000000e+000	0.000000000e+000	3.800000000e+000	6.600000000e+002
2.000000000e+000	5.000000000e+000	5.000000000e+000	0.000000000e+000	1.000000000e+000	3.600000000e+000	7.200000000e+002
1.000000000e+000	3.000000000e+000	1.400000000e+001	1.000000000e+000	0.000000000e+000	3.300000000e+000	6.800000000e+002
1.000000000e+000	3.000000000e+000	1.000000000e+001	1.000000000e+000	0.000000000e+000	3.000000000e+000	6.500000000e+002
1.000000000e+000	4.000000000e+000	7.000000000e+000	0.000000000e+000	0.000000000e+000	3.400000000e+000	7.000000000e+002
1.000000000e+000	2.000000000e+000	1.500000000e+001	0.000000000e+000	0.000000000e+000	3.200000000e+000	6.700000000e+002
1.000000000e+000	3.000000000e+000	1.500000000e+001	1.000000000e+000	0.000000000e+000	3.200000000e+000	6.800000000e+002
1.000000000e+000	4.000000000e+000	2.000000000e+001	1.000000000e+000	0.000000000e+000	3.300000000e+000	7.000000000e+002
1.000000000e+000	3.000000000e+000	2.100000000e+001	1.000000000e+000	0.000000000e+000	3.400000000e+000	6.900000000e+002
2.000000000e+000	3.500000000e+000	2.500000000e+001	0.000000000e+000	1.000000000e+000	2.800000000e+000	7.000000000e+002
