Date	McDonalds return	Market return	Riskless rate
8.811000000e+003	-4.250061774e-002	-2.017161293e-002	6.270804752e-003
8.812000000e+003	2.150537634e-002	2.809133777e-002	6.682195237e-003
8.901000000e+003	-1.347368421e-003	3.737882805e-002	6.844688804e-003
8.902000000e+003	7.909604520e-002	4.126796730e-002	7.114872030e-003
8.903000000e+003	-9.142767836e-003	-1.702419556e-002	7.184219028e-003
8.904000000e+003	4.802839117e-002	2.454885722e-002	7.361200891e-003
8.905000000e+003	8.465648281e-002	5.270149778e-002	7.176516399e-003
8.906000000e+003	1.678923269e-002	2.097512459e-002	6.790556330e-003
8.907000000e+003	1.705786026e-002	3.756259997e-002	6.620216958e-003
8.908000000e+003	-1.677176976e-002	7.602169741e-002	6.596964277e-003
8.909000000e+003	1.173580786e-002	9.558702801e-003	6.550441181e-003
8.910000000e+003	1.895063394e-002	-4.804730010e-002	6.511653859e-003
8.911000000e+003	4.037328744e-002	-1.968910197e-002	6.379653836e-003
8.912000000e+003	7.653158598e-002	2.583266528e-002	6.278583983e-003
9.001000000e+003	-5.448528543e-002	-2.804789849e-002	6.356339932e-003
9.002000000e+003	1.756250000e-002	-3.046634898e-002	6.511653859e-003
9.003000000e+003	-2.591978380e-002	3.462243742e-002	6.527170761e-003
9.004000000e+003	-5.864178069e-003	7.355313310e-003	6.511653859e-003
9.005000000e+003	2.175567677e-002	1.958890772e-002	6.480612158e-003
9.006000000e+003	9.801974052e-002	1.526592491e-002	6.395193138e-003
9.007000000e+003	1.057213930e-002	-1.385997747e-002	6.426263828e-003
9.008000000e+003	-1.975384615e-001	-8.870050206e-002	6.021519396e-003
9.009000000e+003	-6.971556051e-002	-5.042820409e-002	6.154036830e-003
9.010000000e+003	2.323141487e-003	-2.498657237e-002	5.974702657e-003
9.011000000e+003	5.607476636e-002	1.249210994e-002	5.888809671e-003
9.012000000e+003	3.985840708e-002	3.846820858e-002	5.880997215e-003
9.101000000e+003	-4.575163399e-002	6.911358444e-003	5.434580177e-003
9.102000000e+003	1.036672374e-001	1.154682088e-001	4.985972110e-003
9.103000000e+003	9.696812981e-002	7.186414324e-003	5.096360752e-003
9.104000000e+003	2.763863516e-002	5.603905752e-003	4.851749200e-003
9.105000000e+003	-2.511755935e-002	7.186527324e-003	4.606480884e-003
9.106000000e+003	-2.300000000e-002	1.833825847e-002	4.677755689e-003
9.107000000e+003	-2.769582756e-003	-8.400625650e-003	4.677755689e-003
9.108000000e+003	-2.076918433e-002	1.301146805e-002	4.614403054e-003
9.109000000e+003	1.060484617e-002	-4.602432528e-003	4.471698738e-003
9.110000000e+003	7.150265390e-002	2.145975349e-002	4.225406190e-003
9.111000000e+003	-1.691055059e-002	3.192049644e-003	3.978447391e-003
9.112000000e+003	2.258774470e-002	-2.970071033e-002	3.682812688e-003
9.201000000e+003	1.947213412e-001	9.560283421e-002	3.233535531e-003
9.202000000e+003	1.924717929e-002	6.729191896e-003	3.128921798e-003
9.203000000e+003	-3.413953488e-002	-2.026165258e-003	3.370157297e-003
9.204000000e+003	6.741789464e-003	-7.693688611e-004	3.305890192e-003
9.205000000e+003	6.352243375e-002	2.311423658e-002	3.064484417e-003
9.206000000e+003	2.811010165e-002	-1.466668005e-002	3.145024032e-003
9.207000000e+003	-9.536725141e-003	-5.647641484e-003	2.709262506e-003
9.208000000e+003	-5.591625812e-002	-1.187406814e-002	2.684992353e-003
9.209000000e+003	3.803508772e-002	-1.818103299e-003	2.441934720e-003
9.210000000e+003	-3.028664143e-002	-1.692055430e-002	2.247020789e-003
9.211000000e+003	8.714445064e-002	2.903075325e-002	2.563544560e-003
9.212000000e+003	4.672737378e-002	2.298047340e-002	2.765867746e-003
9.301000000e+003	6.534879922e-004	1.009205763e-002	2.644527733e-003
9.302000000e+003	2.040816327e-002	3.248596924e-002	2.498706173e-003
9.303000000e+003	5.000000000e-002	2.199141349e-002	2.498706173e-003
9.304000000e+003	-6.548571429e-002	7.931060181e-003	2.450047093e-003
9.305000000e+003	1.915943092e-003	8.444598376e-004	2.417593267e-003
9.306000000e+003	8.910407682e-003	-2.221738353e-003	2.587847068e-003
9.307000000e+003	-1.197725531e-002	1.051148298e-002	2.531131133e-003
9.308000000e+003	1.007755102e-001	2.606512618e-002	2.604045141e-003
9.309000000e+003	0.000000000e+000	3.055575392e-003	2.474379881e-003
9.310000000e+003	-1.149467908e-003	4.091665293e-003	2.482489366e-003
9.311000000e+003	3.942386220e-002	1.202346479e-002	2.612143098e-003
9.312000000e+003	3.014285714e-002	1.418889520e-002	2.612143098e-003
9.401000000e+003	-2.184163084e-003	2.678824633e-002	2.604045141e-003
9.402000000e+003	5.104061707e-002	8.816843358e-004	2.717351121e-003
9.403000000e+003	3.107438017e-003	-2.862772984e-002	2.951609315e-003
9.404000000e+003	-5.767202742e-002	-5.283515011e-002	3.112816721e-003
9.405000000e+003	4.151220536e-002	-1.731881383e-003	3.354094765e-003
9.406000000e+003	6.816426581e-003	7.713001168e-003	3.474494864e-003
9.407000000e+003	-4.218916756e-002	-9.808268607e-003	3.610756487e-003
9.408000000e+003	-7.507225182e-002	9.913144181e-003	3.642788491e-003
9.409000000e+003	2.586304258e-002	3.629719668e-003	3.834744728e-003
9.410000000e+003	4.587155963e-003	-1.759013679e-002	4.113959137e-003
9.411000000e+003	6.505936073e-002	-1.168448027e-002	4.384380634e-003
9.412000000e+003	-2.033886679e-002	-1.765312727e-002	4.867550370e-003
9.501000000e+003	2.188145503e-002	3.943304959e-002	4.828042319e-003
9.502000000e+003	1.327600384e-001	2.469747609e-002	4.867550370e-003
9.503000000e+003	4.724314188e-002	1.484972201e-002	4.828042319e-003
9.504000000e+003	7.220216606e-003	3.751015885e-002	4.820138658e-003
9.505000000e+003	4.481720430e-002	2.607760616e-002	4.804329284e-003
9.506000000e+003	3.342664252e-002	3.009112424e-002	4.590634482e-003
9.507000000e+003	1.327809645e-002	5.366825490e-002	4.630245333e-003
9.508000000e+003	-2.536953559e-002	-4.127488562e-003	4.535150411e-003
9.509000000e+003	5.292029687e-002	2.919515875e-002	4.439956360e-003
9.510000000e+003	1.276943508e-002	1.222768448e-003	4.471698738e-003
9.511000000e+003	8.591385919e-002	2.350331489e-002	4.487565790e-003
9.512000000e+003	4.570048534e-002	4.041154268e-002	4.432019041e-003
9.601000000e+003	1.665519309e-002	-5.366944025e-003	4.225406190e-003
9.602000000e+003	1.126449837e-001	5.052158832e-002	4.098027016e-003
9.603000000e+003	-6.282146924e-004	5.572091382e-003	4.090059913e-003
