Auto	Engine power	Mileage
Audi A6	2.000000000e+002	2.000000000e+001
BMW 3-series	1.700000000e+002	2.400000000e+001
Buick LeSabre	2.050000000e+002	2.000000000e+001
Buick Regal	2.000000000e+002	2.100000000e+001
Chevrolet Malibu	1.500000000e+002	2.400000000e+001
Chrysler Cirrus	1.680000000e+002	2.200000000e+001
Daewoo Leganza	1.310000000e+002	2.400000000e+001
Dodge Intrepid	2.000000000e+002	2.200000000e+001
Ford Crown Victoria	2.000000000e+002	1.900000000e+001
Honda CR--V	1.450000000e+002	2.400000000e+001
Honda Passport	2.050000000e+002	1.800000000e+001
Hyundai Elantra	1.400000000e+002	2.500000000e+001
Hyundai Tiburon	1.400000000e+002	2.700000000e+001
Isuzu Rodeo	2.050000000e+002	1.800000000e+001
Jeep Wrangler	1.810000000e+002	1.500000000e+001
Kia Sephia	1.250000000e+002	2.600000000e+001
Lexus RX300	2.200000000e+002	1.900000000e+001
Mazda B--series	1.600000000e+002	1.800000000e+001
Mercury Cougar	1.700000000e+002	2.400000000e+001
Mercury Mountaineer	2.100000000e+002	1.600000000e+001
Mercury Sable	1.450000000e+002	2.200000000e+001
Mitsubishi Mirage	1.130000000e+002	2.700000000e+001
Mitsubishi Montero Sport	1.730000000e+002	1.800000000e+001
Nissan Altima	1.500000000e+002	2.500000000e+001
Oldsmobile Alero	1.500000000e+002	2.300000000e+001
Plymouth Breeze	1.320000000e+002	2.300000000e+001
Plymouth Voyager	1.580000000e+002	1.900000000e+001
Pontiac Montana	1.850000000e+002	1.800000000e+001
Saturn SC	1.240000000e+002	2.800000000e+001
Subaru Impreza	1.650000000e+002	2.300000000e+001
Toyota Camry	1.940000000e+002	2.300000000e+001
Toyota RAV4	1.270000000e+002	2.200000000e+001
Toyota Tacoma	1.900000000e+002	1.900000000e+001
Volkswagen Passat	1.500000000e+002	2.400000000e+001
