Year	Rating	Five year default	Ten year default	Fifteen year default	Rating level	Rating factor
1.970000000e+003	Aaa	0.000000000e+000	0.000000000e+000	0.000000000e+000	1 (Aaa)	1.000000000e+000
1.970000000e+003	Aa	0.000000000e+000	0.000000000e+000	1.420000000e+000	2 (Aa)	2.000000000e+001
1.970000000e+003	A	0.000000000e+000	4.300000000e-001	9.000000000e-001	3 (A)	1.200000000e+002
1.970000000e+003	Baa	1.430000000e+000	3.060000000e+000	5.420000000e+000	4 (Baa)	3.600000000e+002
1.970000000e+003	Ba	6.390000000e+000	9.600000000e+000	1.425000000e+001	5 (Ba)	1.350000000e+003
1.970000000e+003	B	2.866000000e+001	2.866000000e+001	3.598000000e+001	6 (B)	2.720000000e+003
1.971000000e+003	Aaa	0.000000000e+000	0.000000000e+000	0.000000000e+000	1 (Aaa)	1.000000000e+000
1.971000000e+003	Aa	0.000000000e+000	0.000000000e+000	0.000000000e+000	2 (Aa)	2.000000000e+001
1.971000000e+003	A	3.800000000e-001	7.900000000e-001	1.630000000e+000	3 (A)	1.200000000e+002
1.971000000e+003	Baa	1.070000000e+000	2.920000000e+000	5.630000000e+000	4 (Baa)	3.600000000e+002
1.971000000e+003	Ba	3.700000000e+000	5.910000000e+000	1.324000000e+001	5 (Ba)	1.350000000e+003
1.971000000e+003	B	8.000000000e+000	8.000000000e+000	2.027000000e+001	6 (B)	2.720000000e+003
1.972000000e+003	Aaa	0.000000000e+000	0.000000000e+000	0.000000000e+000	1 (Aaa)	1.000000000e+000
1.972000000e+003	Aa	0.000000000e+000	0.000000000e+000	0.000000000e+000	2 (Aa)	2.000000000e+001
1.972000000e+003	A	0.000000000e+000	0.000000000e+000	1.190000000e+000	3 (A)	1.200000000e+002
1.972000000e+003	Baa	1.500000000e+000	3.250000000e+000	6.630000000e+000	4 (Baa)	3.600000000e+002
1.972000000e+003	Ba	3.310000000e+000	6.340000000e+000	1.911000000e+001	5 (Ba)	1.350000000e+003
1.972000000e+003	B	7.410000000e+000	7.410000000e+000	1.830000000e+001	6 (B)	2.720000000e+003
1.973000000e+003	Aaa	0.000000000e+000	0.000000000e+000	2.700000000e+000	1 (Aaa)	1.000000000e+000
1.973000000e+003	Aa	0.000000000e+000	0.000000000e+000	0.000000000e+000	2 (Aa)	2.000000000e+001
1.973000000e+003	A	0.000000000e+000	3.800000000e-001	1.160000000e+000	3 (A)	1.200000000e+002
1.973000000e+003	Baa	1.910000000e+000	3.670000000e+000	7.990000000e+000	4 (Baa)	3.600000000e+002
1.973000000e+003	Ba	3.090000000e+000	9.490000000e+000	1.985000000e+001	5 (Ba)	1.350000000e+003
1.973000000e+003	B	3.920000000e+000	1.522000000e+001	1.522000000e+001	6 (B)	2.720000000e+003
1.974000000e+003	Aaa	0.000000000e+000	0.000000000e+000	2.440000000e+000	1 (Aaa)	1.000000000e+000
1.974000000e+003	Aa	0.000000000e+000	1.240000000e+000	1.240000000e+000	2 (Aa)	2.000000000e+001
1.974000000e+003	A	0.000000000e+000	7.600000000e-001	2.020000000e+000	3 (A)	1.200000000e+002
1.974000000e+003	Baa	1.740000000e+000	3.600000000e+000	7.370000000e+000	4 (Baa)	3.600000000e+002
1.974000000e+003	Ba	3.470000000e+000	9.010000000e+000	2.083000000e+001	5 (Ba)	1.350000000e+003
1.974000000e+003	B	1.034000000e+001	2.394000000e+001	2.394000000e+001	6 (B)	2.720000000e+003
1.975000000e+003	Aaa	0.000000000e+000	0.000000000e+000	1.960000000e+000	1 (Aaa)	1.000000000e+000
1.975000000e+003	Aa	0.000000000e+000	1.040000000e+000	2.230000000e+000	2 (Aa)	2.000000000e+001
1.975000000e+003	A	0.000000000e+000	3.700000000e-001	1.600000000e+000	3 (A)	1.200000000e+002
1.975000000e+003	Baa	7.800000000e-001	3.610000000e+000	7.160000000e+000	4 (Baa)	3.600000000e+002
1.975000000e+003	Ba	3.830000000e+000	9.140000000e+000	2.288000000e+001	5 (Ba)	1.350000000e+003
1.975000000e+003	B	9.450000000e+000	2.137000000e+001	2.137000000e+001	6 (B)	2.720000000e+003
1.976000000e+003	Aaa	0.000000000e+000	0.000000000e+000	1.590000000e+000	1 (Aaa)	1.000000000e+000
1.976000000e+003	Aa	0.000000000e+000	9.700000000e-001	3.260000000e+000	2 (Aa)	2.000000000e+001
1.976000000e+003	A	0.000000000e+000	6.400000000e-001	2.840000000e+000	3 (A)	1.200000000e+002
1.976000000e+003	Baa	8.600000000e-001	4.690000000e+000	8.950000000e+000	4 (Baa)	3.600000000e+002
1.976000000e+003	Ba	3.810000000e+000	1.049000000e+001	2.199000000e+001	5 (Ba)	1.350000000e+003
1.976000000e+003	B	3.770000000e+000	1.836000000e+001	3.321000000e+001	6 (B)	2.720000000e+003
1.977000000e+003	Aaa	0.000000000e+000	0.000000000e+000	1.590000000e+000	1 (Aaa)	1.000000000e+000
1.977000000e+003	Aa	0.000000000e+000	9.000000000e-001	3.050000000e+000	2 (Aa)	2.000000000e+001
1.977000000e+003	A	0.000000000e+000	1.250000000e+000	4.980000000e+000	3 (A)	1.200000000e+002
1.977000000e+003	Baa	5.600000000e-001	4.830000000e+000	9.820000000e+000	4 (Baa)	3.600000000e+002
1.977000000e+003	Ba	2.880000000e+000	1.462000000e+001	2.703000000e+001	5 (Ba)	1.350000000e+003
1.977000000e+003	B	1.619000000e+001	2.700000000e+001	6.215000000e+001	6 (B)	2.720000000e+003
1.978000000e+003	Aaa	0.000000000e+000	1.390000000e+000	2.800000000e+000	1 (Aaa)	1.000000000e+000
1.978000000e+003	Aa	8.200000000e-001	8.200000000e-001	1.740000000e+000	2 (Aa)	2.000000000e+001
1.978000000e+003	A	0.000000000e+000	1.270000000e+000	4.770000000e+000	3 (A)	1.200000000e+002
1.978000000e+003	Baa	1.310000000e+000	4.630000000e+000	1.013000000e+001	4 (Baa)	3.600000000e+002
1.978000000e+003	Ba	4.500000000e+000	1.681000000e+001	2.975000000e+001	5 (Ba)	1.350000000e+003
1.978000000e+003	B	2.303000000e+001	4.035000000e+001	6.449000000e+001	6 (B)	2.720000000e+003
1.979000000e+003	Aaa	0.000000000e+000	1.300000000e+000	2.610000000e+000	1 (Aaa)	1.000000000e+000
1.979000000e+003	Aa	8.000000000e-001	1.710000000e+000	1.710000000e+000	2 (Aa)	2.000000000e+001
1.979000000e+003	A	6.000000000e-001	2.690000000e+000	4.770000000e+000	3 (A)	1.200000000e+002
