Movie	Genre	MPAA rating	Origin	Roger Ebert	Nominations	Wins	Sequel	Budget	First weekend gross	Month of opening weekend releas	First weekend number of screens	Total domestic gross	Total UK gross
13 Going on 30	Comedy	PG-13	USA	2	0	0	n	37000000	21054238	4.23.04	3438	56044241	5109348
50 First Dates	Comedy	PG-13	USA 	3	0	0	n	75000000	45107871	2.13.04	3591	120776832	7708648
A Cinderella Story	Comedy	PG	USA / Canada 	1	0	0	n	20000000	13623350	7.16.04	2625	51431160	3753534
A Day Without a Mexican	Comedy	R	USA / Mexico / Spain		0	0	n	1500000	613000	5.14.04	56	4175179	
A Dirty Shame	Comedy	R	USA	1	0	0	n		29384	9.17.04	1	1339668	
A Home at the End of the World	Drama	R	USA	3.5	0	0	n	6500000	64728	7.23.04	5	1029017	
A Love Song for Bobby Long	Drama	R	USA	3	0	0	n		28243	12.31.04	8	159171	
A Very Long Engagement	Drama	R	France / USA	3.5	0	0	n	55000000	101749	11.26.04	4	6167817	996874
After the Sunset	Crime	PG-13	USA	2	0	0	n	58000000	11100392	11.12.04	2819	28328132	1871784
Against the Ropes	Drama 	PG-13	USA / Germany 	3	0	0	n		3038546	2.20.04	1601	5881504	
Agent Cody Banks 2: Destination London	Action	PG	USA	2.5	0	0	y	26000000	8014005	3.12.04	2973	23222861	727038
Aileen: Life and Death of a Serial Killer	Documentary 	R	UK/USA	3.5	0	0	n		11229	1.9.04	4	85992	
Alexander	Adventure	R	USA / UK / Germany / Netherlands	2	0	0	n	150000000	13687087	11.26.04	2445	34293771	2583849
Alfie	Comedy	R	UK / USA	3	0	0	n	60000000	6218335	11.5.04	2215	13395939	4594429
Alien vs. Predator	Horror	PG-13	USA / Canada / Germany / Czech Republic / UK		0	0	y	45000000	38291056	8.13.04	3395	80281096	5017379
Along Came Polly	Comedy	PG-13	USA 	2	0	0	n	42000000	32450825	1.16.04	2984	87856565	7856523
"America's Heart and Soul"	Documentary		USA	2	0	0	n		184917	7.2.04	98	314000	
Anacondas: The Hunt for the Blood Orchid	Adventure	PG-13	USA	2	0	0	y	25000000	12812287	8.27.04	2905	31526393	311731
Anchorman: The Legend of Ron Burgundy	Comedy	PG-13	USA	3	0	0	n	26000000	28416365	7.9.04	3091	84136909	1465538
Around the Bend	Drama	R	USA	2.5	0	0	n		17879	10.8.04	4	193571	
Around the World in 80 Days	Adventure	PG	USA / Germany / Ireland / UK 	3	0	0	n	110000000	7576132	6.18.04	2801	24004159	3971126
Baadasssss!	Biography	R	USA	4	0	0	n		60432	5.28.04	14	365248	
Bad Education	Drama	R	Spain	3.5	0	0	n		147370	11.19.04	3	5211842	1152492
Baptists at Our Barbecue	Comedy	PG	USA		0	0	n	500000	29184	10.8.04	13	173106	
Barbershop 2: Back in Business	Comedy	PG-13	USA 	2.5	0	0	y	18000000	24241612	2.6.04	2711	64955956	73174
Before Sunset	Drama	R	USA	3.5	0	0	y	10000000	311194	7.2.04	20	5792822	456354
Being Julia	Drama	R	Canada / USA / Hungary / UK	2.5	1	0	n	18000000	101126	10.15.04	8	7739049	
