Name	Rotten Tomatoes Critics Score	Rotten Tomatoes Audience Score	Total Gross	Opening Gross	Opening Screens	Production Budget	Holiday/Summer Release
Paranormal Activity: The Marked Ones	37	35	32447650	18343611	2867	5000000	0
Lone Survivor	75	87	125069696	38231471	2876	40000000	0
The Legend of Hercules	3	34	18848538	8868318	2104	70000000	0
Her	46	61	25568252	5345477	1729	23000000	0
Jack Ryan: Shadow Recruit	56	54	50577412	15451981	3387	60000000	0
Devil's Due	18	21	15821462	8308220	2544	7000000	0
The Nut Job	10	45	64251538	19405000	3427	30000000	0
Ride Along	18	59	134938200	41516170	2663	25000000	0
I, Frankenstein	3	39	9075290	8610441	2753	65000000	0
That Awkward Moment	23	47	26068956	8742109	2809	8000000	0
Labor Day	34	54	13371528	5175282	2584	18000000	0
The Lego Movie	96	87	257784720	69050279	3775	60000000	0
The Monuments Men	31	44	78031620	22003433	3083	70000000	0
Vampire Academy	9	57	7791979	3921742	2676	30000000	0
About Last Night	68	66	48637684	25649011	2253	13000000	0
Robo Cop	49	51	58607008	26627042	3372	120000000	0
Endless Love	15	59	23438250	13307125	2896	20000000	0
Winter's Tale	13	44	12600232	7297694	2965	60000000	0
3 Days to Kill	28	44	30698000	12242218	2872	28000000	1
Pompeii	28	35	23169033	10340823	2658	80000000	1
Non-Stop	60	64	92168600	28875635	3090	50000000	0
Son of God	21	73	59700064	25601865	3260	22000000	0
