Movie	Budget	Best actors	Top dollar actors	Genre	MPAA rating	Country	Sequel	Summer release	Holiday release	Christmas release	First weekend	Ebert review	Opening screens	Month released (1998)	Total domestic gross	Oscar nominations	Oscars	Nominations (in/out of release)	Log budget	Log 1st weekend	Log domestic	First weekend per screen	No budget	Ebert missing	Log opening screens	Log $ per screen	Few screens	Action	Childrens	Comedy	Documentary	Drama	Horror	SF	Thriller	G	PG	PG-13	R	NC-17	U	UK gross	Logged UK gross
3 Ninjas: High Moon at Mega Mountain		0.000000000e+000	0.000000000e+000	Action	PG	USA	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.501270000e-001		1.200000000e+002	April	3.080820000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-8.235411939e-001	-5.113336750e-001	1.251058333e-003	1.000000000e+000	1.000000000e+000	2.079181246e+000	-2.902722440e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
54	1.300000000e+001	0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	6.611532000e+000		1.859000000e+003	August	1.657400000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000	8.203021043e-001	1.219427335e+000	3.556499193e-003	0.000000000e+000	1.000000000e+000	3.269279390e+000	-2.448977285e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Affliction	6.000000000e+000	0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	6.397900000e-002	4.000000000e+000	3.000000000e+000	December	6.302000000e+000	2.000000000e+000	1.000000000e+000	2.000000000e+000	7.781512504e-001	-1.193962552e+000	7.994783988e-001	2.132633333e-002	0.000000000e+000	0.000000000e+000	4.771212547e-001	-1.671083807e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Air Bud: Golden Receiver		0.000000000e+000	0.000000000e+000	Childrens	G	English	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	2.603726000e+000	1.500000000e+000	1.669000000e+003	August	1.021500000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000		4.155952798e-001	1.009238371e+000	1.560051528e-003	1.000000000e+000	0.000000000e+000	3.222456337e+000	-2.806861057e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
Alan Smithee Film, An: Burn Hollywood Burn	1.000000000e+001	0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.544700000e-002	0.000000000e+000	5.000000000e+000	March	1.544700000e-002	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	-1.811155853e+000	-1.811155853e+000	3.089400000e-003	0.000000000e+000	0.000000000e+000	6.989700043e-001	-2.510125858e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
All the Rage		1.000000000e+000	0.000000000e+000	Comedy	U	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.250800000e-002		1.000000000e+000	October	9.743300000e-002	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.902812127e+000	-1.011293925e+000	1.250800000e-002	1.000000000e+000	1.000000000e+000	0.000000000e+000	-1.902812127e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
Almost Heroes		0.000000000e+000	0.000000000e+000	Comedy	PG-13	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	2.837928000e+000		2.048000000e+003	May	6.114000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		4.530013729e-001	7.863254344e-001	1.385707031e-003	1.000000000e+000	1.000000000e+000	3.311329952e+000	-2.858328579e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
American History X	1.000000000e+001	0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.340166000e+000	3.000000000e+000	5.120000000e+002	November	6.712000000e+000	1.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	1.271585957e-001	8.268519478e-001	2.617511719e-003	0.000000000e+000	0.000000000e+000	2.709269961e+000	-2.582111365e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Another Day in Paradise		1.000000000e+000	0.000000000e+000	Drama	R	Non-English	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	1.974900000e-002		1.000000000e+000	December	1.025000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.704454890e+000	1.072386539e-002	1.974900000e-002	1.000000000e+000	1.000000000e+000	0.000000000e+000	-1.704454890e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Antz	6.000000000e+001	1.000000000e+000	0.000000000e+000	Comedy	PG	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.719516000e+001	3.500000000e+000	2.449000000e+003	October	9.064600000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.778151250e+000	1.235406221e+000	1.957348644e+000	7.021298489e-003	0.000000000e+000	0.000000000e+000	3.388988785e+000	-2.153582564e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.036200000e+001	1.015443588e+000
Apostle, The	5.000000000e+000	0.000000000e+000	0.000000000e+000	Drama	PG-13	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.403000000e+000	4.000000000e+000	6.760000000e+002	January	2.073300000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	6.989700043e-001	3.807537708e-001	1.316662148e+000	3.554733728e-003	0.000000000e+000	0.000000000e+000	2.829946696e+000	-2.449192925e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
Apt Pupil	1.400000000e+001	0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.583151000e+000	2.000000000e+000	1.448000000e+003	October	8.838000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.146128036e+000	5.542651105e-001	9.463539972e-001	2.474551796e-003	0.000000000e+000	0.000000000e+000	3.160768562e+000	-2.606503451e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Arguing the World		0.000000000e+000	0.000000000e+000	Documentary	U	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.984500000e-002		1.000000000e+000	January	4.704400000e-002	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.702348897e+000	-1.327495759e+000	1.984500000e-002	1.000000000e+000	1.000000000e+000	0.000000000e+000	-1.702348897e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
