Movie	Budget	Best actors	Top dollar actors	Genre	MPAA rating	Country	Sequel	Summer release	Holiday release	Christmas release	First weekend	Ebert review	Opening screens	Month released (1999)	Total domestic gross	Oscar nominations	Oscars	Log domestic	Log 1st weekend	Log opening screens	Log budget	Action	Childrens	Comedy	Documentary	Drama	Horror	SF	Thriller
200 Cigarettes	6.000000000e+000	0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.244277000e+000	5.000000000e-001	9.760000000e+002	February	6.851000000e+000	0.000000000e+000	0.000000000e+000	8.357539675e-001	5.111179277e-001	2.989449818e+000	7.781512504e-001	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
8MM	4.000000000e+001	1.000000000e+000	0.000000000e+000	Thriller	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.425288800e+001	3.000000000e+000	2.370000000e+003	February	3.628300000e+001	0.000000000e+000	0.000000000e+000	1.559703189e+000	1.153902872e+000	3.374748346e+000	1.602059991e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000
At First Sight	4.000000000e+001	0.000000000e+000	1.000000000e+000	Drama	PG-13	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	8.444321000e+000	2.000000000e+000	1.814000000e+003	January	2.232600000e+001	0.000000000e+000	0.000000000e+000	1.348810920e+000	9.265647341e-001	3.258637283e+000	1.602059991e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Blast From the Past	3.500000000e+001	0.000000000e+000	0.000000000e+000	Comedy	PG-13	USA	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	9.160263000e+000	3.000000000e+000	2.542000000e+003	February	2.649400000e+001	0.000000000e+000	0.000000000e+000	1.423147532e+000	9.619079429e-001	3.405175546e+000	1.544068044e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Civil Action, A	6.000000000e+001	2.000000000e+000	1.000000000e+000	Drama	PG-13	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.516348400e+001	3.500000000e+000	1.802000000e+003	January	5.661500000e+001	1.000000000e+000	0.000000000e+000	1.752931512e+000	1.180798997e+000	3.255754787e+000	1.778151250e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Gloria	3.000000000e+001	1.000000000e+000	0.000000000e+000	Thriller	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.143089000e+000		1.527000000e+003	January	4.111000000e+000	0.000000000e+000	0.000000000e+000	6.139474768e-001	3.310402072e-001	3.183839037e+000	1.477121255e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000
In Dreams	3.000000000e+001	2.000000000e+000	0.000000000e+000	Thriller	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	4.593872000e+000	1.500000000e+000	1.670000000e+003	January	1.134700000e+001	0.000000000e+000	0.000000000e+000	1.054881055e+000	6.621788902e-001	3.222716471e+000	1.477121255e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000
Jawbreaker		0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.603425000e+000	1.500000000e+000	8.010000000e+002	February	3.002000000e+000	0.000000000e+000	0.000000000e+000	4.774106879e-001	2.050486507e-001	2.903632516e+000		0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
La Vita e bella (Life is Beautiful)		0.000000000e+000	0.000000000e+000	Drama	PG-13	Non-English	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.830316000e+000	3.500000000e+000	6.440000000e+002	February	5.721600000e+001	3.000000000e+000	1.000000000e+000	1.757517493e+000	4.518349265e-001	2.808885867e+000		0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Message In a Bottle	2.200000000e+001	0.000000000e+000	0.000000000e+000	Drama	PG-13	USA	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	1.885297600e+001	2.500000000e+000	2.538000000e+003	February	5.188500000e+001	0.000000000e+000	0.000000000e+000	1.715041821e+000	1.275379915e+000	3.404491618e+000	1.342422681e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
My Favorite Martian	6.000000000e+001	0.000000000e+000	0.000000000e+000	Comedy	PG	USA	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	1.118104300e+001	2.000000000e+000	2.275000000e+003	February	3.683000000e+001	0.000000000e+000	0.000000000e+000	1.566201719e+000	1.048482318e+000	3.356981401e+000	1.778151250e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
October Sky		1.000000000e+000	0.000000000e+000	Drama	PG	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.905250000e+000	3.500000000e+000	1.495000000e+003	February	3.248100000e+001	0.000000000e+000	0.000000000e+000	1.511629391e+000	7.712382883e-001	3.174641193e+000		0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Office Space	1.000000000e+001	0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	4.231727000e+000	3.000000000e+000	1.740000000e+003	February	1.082400000e+001	0.000000000e+000	0.000000000e+000	1.034387784e+000	6.265176424e-001	3.240549248e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Other Sister, The		0.000000000e+000	0.000000000e+000	Drama	PG-13	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	6.624445000e+000	1.000000000e+000	1.343000000e+003	February	2.779700000e+001	0.000000000e+000	0.000000000e+000	1.443997927e+000	8.211494987e-001	3.128076013e+000		0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Payback	5.000000000e+001	0.000000000e+000	1.000000000e+000	Action	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.122152600e+001	3.000000000e+000	2.720000000e+003	February	8.151700000e+001	0.000000000e+000	0.000000000e+000	1.911248188e+000	1.326776610e+000	3.434568904e+000	1.698970004e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Rushmore	2.200000000e+001	0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.739133000e+000	2.500000000e+000	5.730000000e+002	February	1.709600000e+001	0.000000000e+000	0.000000000e+000	1.232894509e+000	5.727709132e-001	2.758154622e+000	1.342422681e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
Shakespeare in Love	2.500000000e+001	0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	4.224426000e+000	4.000000000e+000	6.320000000e+002	January	1.002410000e+002	5.000000000e+000	3.000000000e+000	2.001045391e+000	6.257677069e-001	2.800717078e+000	1.397940009e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
