Program	Network	Rating rank	HH US AA%	HH US Shr	18-49 AA%	18-49 Shr	Type	Drama	Sports	Comedy	NBC	ABC	CBS	FOX	UPN	FOXDrama	FOXSports	FOXComedy	NBCDrama	NBCSports	NBCComedy	ABCDrama	ABCSports	ABCComedy	CBSDrama	CBSSports	CBSComedy	UPNDrama	UPNSports	UPNComedy	Log HH share
E.R.	NBC	1.000000000e+000	1.460000000e+001	2.500000000e+001	1.030000000e+001	2.900000000e+001	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.397940009e+000
NFL MONDAY NIGHT FOOTBALL	ABC	2.000000000e+000	1.390000000e+001	2.200000000e+001	8.300000000e+000	2.200000000e+001	Sports	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.342422681e+000
FRASIER	NBC	3.000000000e+000	1.330000000e+001	2.200000000e+001	9.400000000e+000	2.600000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.342422681e+000
FRIENDS	NBC	4.000000000e+000	1.330000000e+001	2.300000000e+001	1.010000000e+001	3.200000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.361727836e+000
60 MINUTES	CBS	5.000000000e+000	1.200000000e+001	2.200000000e+001	4.100000000e+000	1.300000000e+001	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.342422681e+000
TOUCHED BY AN ANGEL	CBS	6.000000000e+000	1.170000000e+001	1.900000000e+001	4.800000000e+000	1.300000000e+001	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.278753601e+000
VERONICA'S CLOSET	NBC	7.000000000e+000	1.140000000e+001	1.800000000e+001	8.300000000e+000	2.200000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.255272505e+000
JESSE	NBC	8.000000000e+000	1.100000000e+001	1.800000000e+001	8.200000000e+000	2.400000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.255272505e+000
CBS SUNDAY MOVIE	CBS	9.000000000e+000	1.080000000e+001	1.800000000e+001	4.500000000e+000	1.100000000e+001	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.255272505e+000
20/20-WED	ABC	1.000000000e+001	1.030000000e+001	1.700000000e+001	5.700000000e+000	1.600000000e+001	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.230448921e+000
