Lender	Rate	Points	Jumbo	APR
elsmortgage.com	6.150000000e+000	0.000000000e+000	0.000000000e+000	6.248000000e+000
BMI Financial Services	6.125000000e+000	0.000000000e+000	0.000000000e+000	6.375000000e+000
Bank of New York	6.750000000e+000	0.000000000e+000	0.000000000e+000	6.804000000e+000
1st National Funding	6.250000000e+000	0.000000000e+000	0.000000000e+000	6.389000000e+000
E-Loan	6.200000000e+000	3.200000000e-001	0.000000000e+000	6.557000000e+000
Internetmortgage.com	6.125000000e+000	5.000000000e-001	0.000000000e+000	6.249000000e+000
East-West Mortgage	5.875000000e+000	1.250000000e+000	0.000000000e+000	6.648000000e+000
The Trust Company of New Jersey	5.650000000e+000	2.000000000e+000	0.000000000e+000	6.003000000e+000
AAPEX Discount Mortgage	5.500000000e+000	2.250000000e+000	0.000000000e+000	6.033000000e+000
Pricelinemortgage	5.500000000e+000	3.000000000e+000	0.000000000e+000	6.044000000e+000
Amerimax Realty Financial	6.375000000e+000	0.000000000e+000	1.000000000e+000	6.430000000e+000
Guaranteed Mortgage Solutions	6.500000000e+000	0.000000000e+000	1.000000000e+000	6.500000000e+000
BMI Financial Services	6.500000000e+000	0.000000000e+000	1.000000000e+000	6.750000000e+000
1st National Funding	6.250000000e+000	0.000000000e+000	1.000000000e+000	6.312000000e+000
Pricelinemortgage	6.375000000e+000	1.250000000e-001	1.000000000e+000	6.437000000e+000
Internetmortgage.com	6.250000000e+000	8.750000000e-001	1.000000000e+000	6.433000000e+000
Lowestloan.com	6.125000000e+000	1.000000000e+000	1.000000000e+000	6.240000000e+000
AAPEX Discount Mortgage	5.875000000e+000	2.000000000e+000	1.000000000e+000	6.302000000e+000
East-West Mortgage	6.000000000e+000	2.250000000e+000	1.000000000e+000	6.615000000e+000
