S & P Index value	S & P return	Date	Day	Logged S&P	Lag Log S&P	Diff S&P
55.86		620702	1	4.022848561		
56.49	0.011278195	620703	2	4.034063631	4.022848561	0.011215071
56.81	0.005664719	620705	3	4.039712367	4.034063631	0.005648735
56.17	-0.011265622	620706	4	4.028382807	4.039712367	-0.01132956
56.55	0.006765177	620709	5	4.035125203	4.028382807	0.006742396
57.2	0.011494253	620710	6	4.046553898	4.035125203	0.011428696
57.73	0.009265734	620711	7	4.055776969	4.046553898	0.009223071
58.03	0.005196605	620712	8	4.060960118	4.055776969	0.005183149
57.83	-0.003446493	620713	9	4.057507672	4.060960118	-0.003452446
57.83	0	620716	10	4.057507672	4.057507672	0
56.78	-0.018156666	620717	11	4.039184151	4.057507672	-0.018323521
56.2	-0.010214864	620718	12	4.028916757	4.039184151	-0.010267394
56.42	0.003914591	620719	13	4.032823706	4.028916757	0.003906949
56.81	0.006912442	620720	14	4.039712367	4.032823706	0.006888661
56.8	-0.000176025	620723	15	4.039536326	4.039712367	-0.000176041
56.36	-0.007746479	620724	16	4.031759687	4.039536326	-0.007776639
56.46	0.001774308	620725	17	4.033532423	4.031759687	0.001772736
56.77	0.005490613	620726	18	4.039008017	4.033532423	0.005475594
57.2	0.007574423	620727	19	4.046553898	4.039008017	0.007545881
57.83	0.011013986	620730	20	4.057507672	4.046553898	0.010953774
58.23	0.006916825	620731	21	4.064400686	4.057507672	0.006893014
57.75	-0.008243174	620801	22	4.056123349	4.064400686	-0.008277336
57.98	0.003982684	620802	23	4.060098123	4.056123349	0.003974774
58.12	0.002414626	620803	24	4.062509839	4.060098123	0.002411715
57.75	-0.006366139	620806	25	4.056123349	4.062509839	-0.006386489
57.36	-0.006753247	620807	26	4.049347196	4.056123349	-0.006776153
57.51	0.002615063	620808	27	4.051958846	4.049347196	0.002611649
57.47	-0.000695531	620809	28	4.051263073	4.051958846	-0.000695773
57.55	0.001392031	620810	29	4.052654135	4.051263073	0.001391063
57.63	0.001390096	620813	30	4.054043265	4.052654135	0.00138913
58.25	0.010758286	620814	31	4.064744092	4.054043265	0.010700827
58.66	0.007038627	620815	32	4.071758064	4.064744092	0.007013971
58.64	-0.000340948	620816	33	4.071417058	4.071758064	-0.000341006
59.01	0.006309686	620817	34	4.077706921	4.071417058	0.006289863
59.37	0.006100661	620820	35	4.083789048	4.077706921	0.006082127
59.12	-0.004210881	620821	36	4.079569277	4.083789048	-0.004219772
59.78	0.011163735	620822	37	4.090671157	4.079569277	0.01110188
59.7	-0.00133824	620823	38	4.08933202	4.090671157	-0.001339136
59.58	-0.00201005	620824	39	4.087319947	4.08933202	-0.002012073
59.55	-0.000503525	620827	40	4.086816296	4.087319947	-0.000503651
