Economic status	Age group	Gender	Survived	At risk	1st class	2nd class	3rd class
Crew	Adult	Female	2.000000000e+001	2.300000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
Crew	Adult	Male	1.920000000e+002	8.620000000e+002	0.000000000e+000	0.000000000e+000	0.000000000e+000
First class	Adult	Female	1.400000000e+002	1.440000000e+002	1.000000000e+000	0.000000000e+000	0.000000000e+000
First class	Adult	Male	5.700000000e+001	1.750000000e+002	1.000000000e+000	0.000000000e+000	0.000000000e+000
Second class	Adult	Female	8.000000000e+001	9.300000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
Second class	Adult	Male	1.400000000e+001	1.680000000e+002	0.000000000e+000	1.000000000e+000	0.000000000e+000
Third class	Adult	Female	7.600000000e+001	1.650000000e+002	0.000000000e+000	0.000000000e+000	1.000000000e+000
Third class	Adult	Male	7.500000000e+001	4.620000000e+002	0.000000000e+000	0.000000000e+000	1.000000000e+000
First class	Child	Female	1.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
First class	Child	Male	5.000000000e+000	5.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
Second class	Child	Female	1.300000000e+001	1.300000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
Second class	Child	Male	1.100000000e+001	1.100000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
Third class	Child	Female	1.400000000e+001	3.100000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
Third class	Child	Male	1.300000000e+001	4.800000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
