Month	Tornado season	Killer tornadoes	Tornadoes
January 1995	0.000000000e+000	2.000000000e+000	3.600000000e+001
February 1995	0.000000000e+000	1.000000000e+000	7.000000000e+000
March 1995	1.000000000e+000	0.000000000e+000	4.900000000e+001
April 1995	1.000000000e+000	1.000000000e+000	1.300000000e+002
May 1995	1.000000000e+000	7.000000000e+000	3.910000000e+002
June 1995	0.000000000e+000	0.000000000e+000	2.160000000e+002
July 1995	0.000000000e+000	0.000000000e+000	1.610000000e+002
August 1995	0.000000000e+000	0.000000000e+000	5.400000000e+001
September 1995	0.000000000e+000	0.000000000e+000	1.900000000e+001
October 1995	0.000000000e+000	1.000000000e+000	7.400000000e+001
November 1995	0.000000000e+000	1.000000000e+000	7.900000000e+001
December 1995	0.000000000e+000	1.000000000e+000	1.800000000e+001
January 1996	0.000000000e+000	1.000000000e+000	3.500000000e+001
February 1996	0.000000000e+000	1.000000000e+000	1.600000000e+001
March 1996	1.000000000e+000	2.000000000e+000	7.300000000e+001
April 1996	1.000000000e+000	4.000000000e+000	1.680000000e+002
May 1996	1.000000000e+000	1.000000000e+000	2.350000000e+002
June 1996	0.000000000e+000	0.000000000e+000	1.250000000e+002
July 1996	0.000000000e+000	1.000000000e+000	1.940000000e+002
August 1996	0.000000000e+000	0.000000000e+000	6.900000000e+001
September 1996	0.000000000e+000	0.000000000e+000	9.600000000e+001
October 1996	0.000000000e+000	0.000000000e+000	5.800000000e+001
November 1996	0.000000000e+000	2.000000000e+000	6.400000000e+001
December 1996	0.000000000e+000	1.000000000e+000	1.800000000e+001
January 1997	0.000000000e+000	2.000000000e+000	5.400000000e+001
February 1997	0.000000000e+000	1.000000000e+000	2.300000000e+001
March 1997	1.000000000e+000	9.000000000e+000	1.030000000e+002
April 1997	1.000000000e+000	1.000000000e+000	1.010000000e+002
May 1997	1.000000000e+000	3.000000000e+000	2.050000000e+002
June 1997	0.000000000e+000	0.000000000e+000	1.800000000e+002
July 1997	0.000000000e+000	4.000000000e+000	1.750000000e+002
August 1997	0.000000000e+000	1.000000000e+000	6.800000000e+001
September 1997	0.000000000e+000	1.000000000e+000	1.800000000e+001
October 1997	0.000000000e+000	0.000000000e+000	2.800000000e+001
November 1997	0.000000000e+000	0.000000000e+000	5.000000000e+000
December 1997	0.000000000e+000	0.000000000e+000	7.000000000e+000
January 1998	0.000000000e+000	0.000000000e+000	2.700000000e+001
February 1998	0.000000000e+000	4.000000000e+000	7.000000000e+001
March 1998	1.000000000e+000	4.000000000e+000	7.200000000e+001
April 1998	1.000000000e+000	1.200000000e+001	2.120000000e+002
May 1998	1.000000000e+000	2.000000000e+000	1.100000000e+002
