Network,Full type,Show,HH Rating,Type
CBS ,Drama,NCIS,11.86,Drama
ABC ,Reality/Participatio,DANCING WITH THE STARS,11.18,Reality/Participatio
FOX ,Reality/Participatio,AMERICAN IDOL-WEDNESDAY,10.57,Reality/Participatio
ABC ,Reality/Participatio,DANCING W/STARS RESULTS,10.07,Reality/Participatio
FOX ,Reality/Participatio,AMERICAN IDOL-THURSDAY,9.78,Reality/Participatio
CBS ,Drama,NCIS: LOS ANGELES,9.64,Drama
CBS ,Comedy,"BIG BANG THEORY, THE",8.94,Comedy
CBS ,Comedy,TWO AND A HALF MEN,8.77,Comedy
CBS ,Drama,"MENTALIST, THE",8.25,Drama
CBS ,Drama,PERSON OF INTEREST,8.19,Drama
CBS ,News,60 MINUTES,8.13,News
CBS ,Drama,CRIMINAL MINDS,7.92,Drama
NBC ,Reality/Participatio,VOICE,7.84,Reality/Participatio
CBS ,Drama,UNFORGETTABLE,7.3,Drama
CBS ,Drama,CSI,7.19,Drama
CBS ,Drama,BLUE BLOODS,7.17,Drama
ABC ,Comedy,MODERN FAMILY,7.16,Comedy
CBS ,Comedy,MIKE & MOLLY,7.05,Comedy
ABC ,Drama,CASTLE,7.03,Drama
CBS ,Comedy,2 BROKE GIRLS,6.73,Comedy
CBS ,Drama,HAWAII FIVE-0,6.73,Drama
FOX ,Reality/Participatio,X-FACTOR-THU,6.68,Reality/Participatio
CBS ,Reality/Participatio,SURVIVOR: SOUTH PACIFIC,6.66,Reality/Participatio
CBS ,Drama,"GOOD WIFE, THE",6.65,Drama
FOX ,Reality/Participatio,X-FACTOR-WED,6.6,Reality/Participatio
CBS ,Comedy,ROB,6.58,Comedy
ABC ,Drama,GREY'S ANATOMY,6.57,Drama
CBS ,Drama,CSI: MIAMI,6.45,Drama
CBS ,Drama,CSI: NY,6.37,Drama
CBS ,Reality/Participatio,AMAZING RACE 19,6.12,Reality/Participatio
NBC ,Reality/Participatio,AMERICA'S GOT TALENT-TUE,6.07,Reality/Participatio
CBS ,Reality/Participatio,SURVIVOR: ONE WORLD,6.05,Reality/Participatio
NBC ,Reality/Participatio,AMERICA'S GOT TALENT-MON,5.9,Reality/Participatio
NBC ,Reality/Participatio,VOICE:RESULTS SHOW,5.84,Reality/Participatio
CBS ,Comedy,HOW I MET YOUR MOTHER,5.81,Comedy
ABC ,Drama,BODY OF PROOF,5.79,Drama
ABC ,Drama,ONCE UPON A TIME,5.75,Drama
CBS ,Comedy,RULES OF ENGAGEMENT,5.73,Comedy
ABC ,Drama,DESPERATE HOUSEWIVES,5.6,Drama
CBS ,Drama,"GIFTED MAN, A",5.59,Drama
CBS ,Reality/Participatio,UNDERCOVER BOSS,5.51,Reality/Participatio
CBS ,Reality/Participatio,AMAZING RACE 20,5.47,Reality/Participatio
ABC ,Reality/Participatio,"BACHELOR, THE",5.4,Reality/Participatio
ABC ,Comedy,LAST MAN STANDING,5.32,Comedy
ABC ,Reality/Participatio,"BACHELORETTE, THE",5.3,Reality/Participatio
ABC ,Drama,REVENGE,5.23,Drama
ABC ,Comedy,"MIDDLE, THE",5.15,Comedy
CBS ,Comedy,HOW TO BE A GENTLEMAN,5.03,Comedy
NBC ,Drama,HARRY'S LAW,5.03,Drama
ABC ,Drama,MISSING,4.97,Drama
CBS ,Drama,NYC 22,4.94,Drama
FOX ,Drama,BONES,4.91,Drama
ABC ,Drama,SCANDAL,4.88,Drama
ABC ,Drama,PRIVATE PRACTICE,4.8,Drama
ABC ,Comedy,LAST MAN STANDING-8:30PM,4.76,Comedy
FOX ,Drama,TOUCH,4.73,Drama
ABC ,Comedy,SUBURGATORY,4.7,Comedy
NBC ,Drama,LAW AND ORDER:SVU,4.67,Drama
ABC ,Reality/Participatio,DUETS,4.51,Reality/Participatio
FOX ,Drama,GLEE,4.51,Drama
FOX ,Drama,TERRA NOVA,4.5,Drama
NBC ,Drama,SMASH,4.44,Drama
FOX ,Drama,HOUSE,4.39,Drama
FOX ,Drama,ALCATRAZ,4.2,Drama
ABC ,Drama,CHARLIE'S ANGELS,4.11,Drama
ABC ,Comedy,MAN UP!,4.08,Comedy
ABC ,Drama,GCB,4.06,Drama
ABC ,Drama,ROOKIE BLUE,4.05,Drama
NBC ,Reality/Participatio,BIGGEST LOSER 13,4.03,Reality/Participatio
