Rank	Name	In-state tuition	Out-of-state tuition	Total Enrollment	Fall 2010 Acceptance Rate	Average Freshman Retention Rate	6-year  graduation rate	Tier
1	Harvard University	39849	39849	19627	7	97	97	Top 50
1	Princeton University	37000	37000	7802	9	98	96	Top 50
3	Yale University	40500	40500	11701	8	99	96	Top 50
4	Columbia University	45290	45290	22283	10	99	96	Top 50
5	California Institute of Technology	37704	37704	2175	13	98	90	Top 50
5	Massachusetts Institute of Technology	40732	40732	10566	10	98	93	Top 50
5	Stanford University	40569	40569	19535	7	98	95	Top 50
5	University of Chicago	42783	42783	12781	19	98	92	Top 50
5	University of Pennsylvania	42098	42098	19842	14	98	96	Top 50
10	Duke University	41958	41958	14983	16	97	94	Top 50
11	Dartmouth College	42996	42996	6141	12	98	95	Top 50
12	Northwestern University	41983	41983	19389	23	97	94	Top 50
13	Johns Hopkins University	42280	42280	21092	21	97	92	Top 50
14	Washington University in St. Louis	41992	41992	13820	21	97	94	Top 50
15	Brown University	42230	42230	8695	9	98	96	Top 50
15	Cornell University	41541	41541	20939	18	96	93	Top 50
17	Rice University	35551	35551	5879	21	97	92	Top 50
17	Vanderbilt University	41332	41332	12714	18	97	91	Top 50
19	University of Notre Dame	41417	41417	11992	29	98	96	Top 50
20	Emory University	41164	41164	13381	29	95	89	Top 50
21	University of California--Berkeley	11767	34645	35838	22	97	91	Top 50
22	Georgetown University	41393	41393	16871	20	96	93	Top 50
23	Carnegie Mellon University	43396	43396	11618	33	95	86	Top 50
23	University of Southern California	42818	42818	36896	24	97	89	Top 50
25	University of California--Los Angeles	11604	34482	39593	23	97	90	Top 50
25	University of Virginia	11576	36570	24391	33	97	93	Top 50
25	Wake Forest University	41576	41576	7162	40	94	89	Top 50
28	University of Michigan--Ann Arbor	12590	37265	41924	51	96	90	Top 50
29	Tufts University	42962	42962	10480	24	97	91	Top 50
29	University of North Carolina--Chapel Hill	7008	26834	29390	32	97	90	Top 50
31	Boston College	42204	42204	14015	31	96	91	Top 50
31	Brandeis University	41860	41860	5642	35	93	91	Top 50
33	College of William and Mary	13132	35409	8000	32	95	90	Top 50
33	New York University	41606	41606	43797	38	92	85	Top 50
35	University of Rochester	41826	41826	10111	38	96	84	Top 50
36	Georgia Institute of Technology	9652	27862	20720	52	93	80	Top 50
37	University of California--San Diego	12128	35006	29176	38	95	86	Top 50
38	Case Western Reserve University	39120	39120	9837	67	92	82	Top 50
38	Lehigh University	40960	40960	7051	38	94	88	Top 50
38	University of California--Davis	12794	35672	31392	45	91	84	Top 50
38	University of Miami	39654	39654	15657	39	90	80	Top 50
42	University of California--Santa Barbara	12508	35386	22218	46	91	95	Top 50
42	University of Washington	10574	28058	42446	57	93	80	Top 50
42	University of Wisconsin--Madison	9671	25421	42595	57	94	84	Top 50
45	Pennsylvania State University--University Park	15984	28066	45233	55	93	85	Top 50
45	University of California--Irvine	12902	35780	26994	45	94	83	Top 50
45	University of Illinois--Urbana-Champaign	13558	27700	43862	67	94	84	Top 50
45	University of Texas--Austin	9794	32506	51195	47	92	81	Top 50
45	Yeshiva University	35150	35150	6445	72	91	82	Top 50
50	George Washington University	42425	42425	25135	32	92	81	Top 50
50	Rensselaer Polytechnic Institute	42704	42704	7144	40	92	82	Top 50
50	Tulane University	43434	43434	12622	26	89	74	Top 50
53	Boston University	41420	41420	32727	58	91	84	Next 50
53	Fordham University	39967	39967	15158	51	90	80	Next 50
55	Ohio State University--Columbus	9735	24630	56064	68	93	78	Next 50
55	Pepperdine University	40752	40752	7604	31	89	80	Next 50
55	University of Maryland--College Park	8655	26026	37595	44	94	81	Next 50
58	Texas A&M University--College Station			49129	69	92	79	Next 50
58	University of Connecticut	10670	27566	25498	54	93	81	Next 50
58	University of Florida	5656	27933	49827	43	96	84	Next 50
58	University of Pittsburgh	16132	25540	28823	58	92	78	Next 50
62	Northeastern University	38252	38252	19796	38	92	77	Next 50
