School,SAT 1st quartile,SAT 3rd quartile,SAT used,Top 10%,Acceptance rate,Alumni giving rate,Pct under 20,Pct over 50,Freshman retention,Graduation rate,Reputation,Pct fulltime faculty,Tier,Tier number
Princeton University (NJ),1350,1540,1,92,12,66,71,11,99,97,4.9,92,Top 50,4
Harvard University (MA),1410,1580,1,90,11,46,69,13,96,97,4.9,91,Top 50,4
Yale University (CT),1380,1550,1,95,16,46,75,8,98,95,4.9,90,Top 50,4
California Institute of Technology,1450,1580,1,98,13,39,76,5,94,82,4.7,96,Top 50,4
Massachusetts Inst. of Technology,1410,1560,1,97,16,41,58,16,98,91,4.9,89,Top 50,4
Stanford University (CA),1360,1560,1,89,13,40,69,14,98,93,4.9,99,Top 50,4
University of Pennsylvania,1310,1490,1,92,23,41,70,8,97,91,4.5,89,Top 50,4
Duke University (NC),1300,1500,1,86,26,45,69,7,97,93,4.6,98,Top 50,4
Columbia University (NY),1310,1510,1,87,13,32,68,9,98,88,4.6,93,Top 50,4
Dartmouth College (NH),1330,1520,1,86,21,48,57,11,96,92,4.4,88,Top 50,4
University of Chicago,1280,1490,1,82,44,33,68,3,94,85,4.7,95,Top 50,4
Northwestern University (IL),1290,1470,1,84,33,29,69,8,96,92,4.4,94,Top 50,4
Rice University (TX),1310,1510,1,84,23,38,68,9,96,89,4.3,89,Top 50,4
Cornell University (NY),1270,1460,1,82,31,37,49,21,96,90,4.6,98,Top 50,4
Washington University in St. Louis,1290,1450,1,85,30,40,71,9,96,86,4.1,90,Top 50,4
Brown University (RI),1290,1490,1,87,16,44,58,14,97,94,4.4,93,Top 50,4
Johns Hopkins University (MD),1300,1480,1,70,32,28,53,18,96,85,4.7,93,Top 50,4
Emory University (GA),1300,1460,1,90,45,37,65,7,92,87,4,96,Top 50,4
University of Notre Dame (IN),1270,1430,1,84,34,48,54,11,98,94,3.9,85,Top 50,4
University of California - Berkeley *,1200,1450,1,99,26,18,58,16,95,83,4.8,92,Top 50,4
University of Virginia *,1200,1410,1,83,39,29,50,15,97,91,4.4,96,Top 50,4
Vanderbilt University (TN),1220,1400,1,71,55,31,70,5,92,84,4.1,93,Top 50,4
Carnegie Mellon University (PA),1280,1460,1,72,36,28,68,8,92,76,4.2,96,Top 50,4
Georgetown University (DC),1280,1450,1,78,22,30,59,9,96,92,4,87,Top 50,4
University of Michigan - Ann Arbor *,1210,1420,0,67,55,13,50,15,95,82,4.6,92,Top 50,4
Univ. of California - Los Angeles *,1170,1400,1,97,29,12,47,24,96,80,4.3,91,Top 50,4
Wake Forest University (NC),1220,1380,1,67,49,36,61,2,93,87,3.4,93,Top 50,4
Tufts University (MA),1240,1410,1,73,26,30,71,5,96,89,3.6,82,Top 50,4
U. of North Carolina - Chapel Hill *,1130,1340,1,65,37,25,41,12,94,79,4.2,96,Top 50,4
College of William and Mary (VA)*,1230,1410,1,79,41,29,46,9,96,89,3.8,92,Top 50,4
Univ. of California - San Diego *,1160,1370,1,99,38,9,50,28,94,78,3.9,94,Top 50,4
New York University,1250,1420,1,70,29,18,63,9,90,74,3.7,77,Top 50,4
Univ. of Wisconsin - Madison *,1210,1370,0,48,72,14,42,19,92,75,4.3,91,Top 50,4
Brandeis University (MA),1220,1420,1,61,48,31,68,9,92,85,3.6,86,Top 50,4
