Restaurant Name,Type,Location,Food,Decor,Service,Cost
26 Seats Bistro,French ,East Village,22,18,21,41
5 Napkin Burger,American ,Greenwich Village,21,17,18,28
99 Miles to Philly,Cheesesteak ,Greenwich Village,21,11,17,15
A Salt & Battery,British ,West Village,22,13,18,20
A.O.C.,French ,West Village,20,18,18,41
Agave,Tex-Mex ,West Village,20,19,19,36
Alder,American ,East Village,20,16,22,60
Alta,Mediterranean ,Greenwich Village,25,22,20,52
Angelica Kitchen,Vegetarian ,East Village,22,17,19,25
Annisa,American ,West Village,27,24,26,87
August,European ,West Village,22,21,19,49
Awash,Ethiopian ,East Village,22,14,18,26
AYZA Wine & Chocolate Bar,undefined,West Village,20,19,19,35
B & H,Vegetarian ,East Village,22,11,19,15
Babbo Ristorante,Italian ,Greenwich Village,27,23,24,82
Back Forty,American ,East Village,22,18,20,39
Baohaus,Chinese ,East Village,23,11,17,14
Bar-Bo-Ne,Italian ,East Village,23,17,22,47
Bar Pitti,Italian ,Greenwich Village,23,16,18,44
Barbuto,Italian ,West Village,24,19,21,55
Bareburger,Burger ,East Village,22,16,19,22
Bareburger,Burger ,Greenwich Village,22,16,19,22
Barraca,Spanish ,West Village,15,16,12,30
Bell Book & Candle,American ,West Village,20,19,19,49
Black Iron Burger Shop,Burger ,East Village,21,14,17,20
Blossom on Carmine,Vegan ,West Village,23,18,21,35
Blue 9 Burger,Burger ,Greenwich Village,19,7,13,13
Blue Hill,American ,Greenwich Village,27,23,26,89
Blue Ribbon Bakery Kitchen,American ,West Village,24,18,21,43
Bobo,French ,West Village,23,23,21,57
Brick Lane Curry House,Indian ,East Village,21,15,19,29
Buenos Aires,Argentinian ,East Village,24,15,21,45
burger joint,Burger ,Greenwich Village,24,13,14,17
Buvette,French ,West Village,24,22,21,46
Cacio e Pepe,Italian ,East Village,20,15,18,42
Cafe Asean,Asian ,West Village,22,14,19,29
Cafe Cluny,American ,West Village,22,21,20,46
Cafe Espanol,Spanish ,Greenwich Village,20,16,20,38
Cafe Espanol,Spanish ,West Village,20,16,20,38
Cafe Gitane,French ,West Village,21,19,17,31
Cafe Loup,French ,West Village,19,18,21,47
Cafe Mogador,Moroccan ,East Village,23,17,19,30
Cafe Orlin,American ,East Village,22,17,18,22
CAMAJE Bistro,Bistro ,Greenwich Village,20,14,20,39
Caracas Arepa Bar,Venezuelan ,East Village,24,15,18,21
Caracas To Go,Venezuelan ,East Village,24,15,18,21
Caravan Of Dreams,Vegan ,East Village,23,16,20,29
Carbone,Italian ,Greenwich Village,21,21,21,93
Casa,Brazilian ,West Village,25,20,21,43
Chez Jacqueline,French ,Greenwich Village,19,18,19,51
Chez Sardine,undefined,West Village,20,19,21,64
Clarkson,Small Plates ,West Village,20,16,21,54
Commerce,American ,West Village,23,20,19,60
Corkbuzz Wine Studio,Eclectic ,Greenwich Village,22,22,23,53
Corner Bistro,Burger ,West Village,22,12,14,20
Cowgirl,Tex-Mex ,West Village,17,18,18,30
Creperie NYC,Creperie ,Greenwich Village,22,13,18,15
Crispo,Italian ,West Village,23,19,20,51
Cuba,Cuban ,Greenwich Village,23,19,21,42
Da Andrea Restaurant,Italian ,Greenwich Village,23,17,22,39
Da Silvano Restaurant,Italian ,Greenwich Village,22,17,20,65
DBGB Kitchen and Bar,French ,East Village,24,22,21,52
