Name	Food	Decor	Service	Price
88 Palace	1.600000000e+001	1.200000000e+001	1.100000000e+001	2.300000000e+001
Babalu	2.000000000e+001	2.000000000e+001	1.700000000e+001	4.400000000e+001
baci	2.200000000e+001	1.900000000e+001	2.200000000e+001	3.800000000e+001
Bellini	2.200000000e+001	1.900000000e+001	2.100000000e+001	5.200000000e+001
Bombay Place	1.800000000e+001	1.700000000e+001	1.800000000e+001	3.500000000e+001
Brother BBQ	1.500000000e+001	1.400000000e+001	1.400000000e+001	2.600000000e+001
Bruno ristorante	2.100000000e+001	1.700000000e+001	2.200000000e+001	5.200000000e+001
cafè abana	2.100000000e+001	1.200000000e+001	1.300000000e+001	2.300000000e+001
Campagnola	2.300000000e+001	1.800000000e+001	2.200000000e+001	5.800000000e+001
Canaletto	2.100000000e+001	1.700000000e+001	2.200000000e+001	4.800000000e+001
Cicus	1.900000000e+001	1.700000000e+001	1.700000000e+001	4.300000000e+001
City Grill	1.500000000e+001	1.400000000e+001	1.500000000e+001	2.700000000e+001
Cyclo	2.000000000e+001	1.400000000e+001	1.600000000e+001	3.000000000e+001
Del Frisco's	2.300000000e+001	2.300000000e+001	2.100000000e+001	6.400000000e+001
della femina	1.900000000e+001	1.900000000e+001	1.900000000e+001	5.400000000e+001
delta grill	2.000000000e+001	1.500000000e+001	1.700000000e+001	2.900000000e+001
Diner	2.100000000e+001	1.600000000e+001	1.700000000e+001	2.600000000e+001
Divino	1.700000000e+001	1.300000000e+001	1.800000000e+001	3.600000000e+001
dizzi's	1.600000000e+001	1.200000000e+001	1.400000000e+001	2.000000000e+001
do hwa	2.100000000e+001	2.000000000e+001	1.800000000e+001	3.800000000e+001
Dolphins	1.800000000e+001	2.000000000e+001	1.900000000e+001	3.400000000e+001
Due	2.100000000e+001	1.700000000e+001	2.000000000e+001	3.700000000e+001
Ebisu	2.200000000e+001	2.300000000e+001	2.200000000e+001	3.800000000e+001
El cid	2.200000000e+001	1.200000000e+001	1.600000000e+001	3.400000000e+001
El rio grande	1.600000000e+001	1.400000000e+001	1.400000000e+001	3.000000000e+001
elmo	1.500000000e+001	2.200000000e+001	1.500000000e+001	3.300000000e+001
Ernie's	1.500000000e+001	1.400000000e+001	1.500000000e+001	3.200000000e+001
Esperanto	2.100000000e+001	1.700000000e+001	1.700000000e+001	2.800000000e+001
ESPN zone	1.300000000e+001	1.900000000e+001	1.200000000e+001	2.700000000e+001
Fiamma Osteria	2.300000000e+001	2.500000000e+001	2.300000000e+001	5.500000000e+001
Fiorello's	1.900000000e+001	1.600000000e+001	1.800000000e+001	4.400000000e+001
Firebird	2.100000000e+001	2.600000000e+001	2.200000000e+001	5.800000000e+001
Fleur de Sel	2.300000000e+001	1.800000000e+001	2.100000000e+001	6.200000000e+001
Flor de Mayo	1.900000000e+001	7.000000000e+000	1.400000000e+001	1.800000000e+001
Flor's Kitchen	1.900000000e+001	8.000000000e+000	1.500000000e+001	1.900000000e+001
Frendihouse	1.800000000e+001	1.800000000e+001	1.700000000e+001	2.300000000e+001
Fujiyama Mama	1.900000000e+001	1.700000000e+001	1.700000000e+001	3.700000000e+001
