County,e-Voting,Median income,Hispanic population pct,Bush pct 2000,Voter turnout 2004,Voter turnout 2000,Change in Bush pct
Alachua,0,32724,5.7,41.8755919,109963,81489,1.4253378
Baker,0,39070,1.8999999,70.1074719,9918,8002,7.9122901
Bay,0,35547,2.4,67.2099769,74339,57487,4.4953167
Bradford,0,40673,4.6,54.2039394,262991,212503,3.9113581
Brevard,0,32889,2.4,63.776654,10797,8489,6.1779618
Broward,1,42690,16.6999996,31.4534009,681932,565605,3.5056561
Calhoun,0,27027,3.7999999,57.1400166,5896,5028,6.971246
Charlotte,1,36087,3.3,54.4420719,78629,65071,2.0281851
Citrus,0,31358,2.7000001,53.836,68767,55292,3.5985231
Clay,0,48988,4.3000001,74.0420103,80786,56368,2.5566578
Collier,1,47792,19.5999995,66.8909252,125770,90371,-1.3005614
Columbia,0,31293,2.7000001,60.8739078,24782,18011,6.7275763
Miami-Dade,0,29950,24.8999998,56.1774015,9420,7576,2.3151696
De Soto,0,26372,1.7999999,59.6285641,6392,4523,9.7237527
Dixie,0,41326,4.1000001,58.5077822,376100,259962,-0.417912
Duval,0,34355,2.7000001,64.0724838,141518,113960,1.8633008
Escambia,0,40435,5.0999999,47.5782722,38187,26510,3.8109452
Flagler,0,27746,2.4,54.5333326,5872,4500,4.5947313
Franklin,0,30650,6.1999999,32.8713268,20846,14502,-2.9567152
Gadsden,0,30708,2.8000001,63.3397341,6945,5210,7.6465845
Gilchrist,0,30379,15.0999993,56.0767591,4149,3283,2.6602864
Glades,0,30014,2,59.6939623,8901,5947,7.3996246
Gulf,0,26032,6.4000003,55.4808676,5045,3868,-0.238055
Hamilton,0,29693,35.6999993,61.6808653,7194,6104,8.4748209
Hardee,0,33012,39.5999998,59.4340801,9716,7987,-0.1915932
Hendry,0,32963,5.0000001,48.4215528,78098,63290,5.1611274
Hernando,0,29864,12.0999999,58.7845087,41220,34373,3.9859891
Highlands,1,40987,18.0000007,51.598978,456565,350317,1.803273
Hillsborough,0,27831,1.8999999,69.7134137,8220,7188,8.2671225
Holmes,1,40063,6.4999998,59.159559,60594,48403,1.4801085
Indian River,0,29700,2.8999999,57.0910931,19621,16006,4.5367539
Jackson,0,32924,2.2,44.8994368,7431,5519,-0.5177915
Jefferson,0,30008,9.0999998,67.9137886,3305,2459,6.5188885
Lafayette,1,37354,5.6000002,57.760942,122598,86581,2.9105186
Lake,1,39262,9.4999999,59.065336,238779,179701,1.4148593
Lee,0,38791,3.5,38.8719171,127493,100489,-1.2996584
Leon,0,27724,3.9000001,55.9562683,16478,12256,7.1946025
Levy,0,29274,4.5000002,56.4267337,2997,2334,7.8708947
Liberty,0,26987,3.2000002,50.1982808,8243,6052,0.6933868
Madison,0,38732,9.3000002,54.0955305,142500,107129,2.937454
Manatee,0,32532,5.9999999,55.248183,138522,99806,3.4190297
Marion,1,43625,7.5000003,56.0653567,71646,60590,1.7997026
Martin,1,33228,57.3000014,46.8241632,714362,618341,-0.7216275
Monroe,0,42447,15.8000007,49.3485332,39103,32542,0.4097968
Nassau,1,46814,1.5,70.2346265,32269,23356,3.2910466
Okaloosa,0,41706,4.3000001,75.4522681,88596,69041,2.7905405
Okeechobee,0,29896,18.6000004,52.4313092,12125,9645,5.0944626
Orange,0,42656,18.7999994,48.9620984,383419,274737,0.9543121
Osceola,0,38309,29.4,48.1900245,81331,54393,4.5586199
Palm Beach,1,42008,12.3999998,36.1857474,536388,422683,3.0731469
Pasco,1,34233,5.7,49.6445775,187924,138146,5.2685797
Pinellas,1,37179,4.6,47.9498267,450788,385455,2.0812273
Polk,0,35438,9.4999999,54.56056,209380,165495,4.4025719
Putnam,0,27839,5.9,52.6321948,30710,25549,6.9672823
St. Johns,0,52244,2.6000001,66.9726312,85017,59048,2.1923602
St. Lucie,1,36172,8.2000002,45.5063999,99391,76264,2.3601085
Santa Rosa,0,42626,2.5,73.9139318,66587,49076,4.1073024
Sarasota,0,42265,4.3000001,53.2852829,192671,155953,0.9242237
Seminole,0,50122,11.2000003,56.1189771,185064,134851,2.3072958
Sumter,1,31730,6.3000001,55.7204545,31377,21764,7.3639691
Suwannee,0,30044,4.8999999,66.2693501,15674,12081,4.8867047
Taylor,0,30702,1.5,60.4921699,8515,6705,3.7004292
Union,0,33779,3.5,62.3696148,4647,3739,10.7097924
Volusia,0,35278,6.6,45.8402216,226249,179661,3.3370137
Wakulla,0,37761,1.8999999,54.0359259,11673,8350,4.021126
Walton,0,32368,2.2,68.3460474,23731,17824,5.5067182
Washington,0,28503,2.3,64.0913785,10278,7792,7.5859904
