Date,S&P Small cap,S&P Mid cap,S&P Large cap
1/3/2006,356.02,749.02,1268.8
1/4/2006,358.21,754.08,1273.46
1/5/2006,358.89,754.3,1273.48
1/6/2006,362.3,762.78,1285.45
1/9/2006,366.32,768.71,1290.15
1/10/2006,369.24,771.34,1289.69
1/11/2006,368.56,772.41,1294.18
1/12/2006,366.31,767.04,1286.06
1/13/2006,366.62,766.73,1287.61
1/17/2006,364.6,763.44,1283.03
1/18/2006,364.79,761.8,1277.93
1/19/2006,369.77,771.48,1285.04
1/20/2006,364.97,758.61,1261.49
1/23/2006,365.28,761.34,1263.82
1/24/2006,370.51,767.95,1266.86
1/25/2006,369.89,762.96,1264.68
1/26/2006,375.67,771.75,1273.83
1/27/2006,377.56,775.27,1283.72
1/30/2006,378.21,776.56,1285.19
1/31/2006,379.84,781.02,1280.08
2/1/2006,379.98,781.93,1282.46
2/2/2006,376.1,774.99,1270.84
2/3/2006,374.6,772.55,1264.03
2/6/2006,376.42,776.02,1265.02
2/7/2006,370.98,765.86,1254.78
2/8/2006,372.55,768.26,1265.65
2/9/2006,370.25,765.22,1263.78
2/10/2006,370.15,765.47,1266.99
2/13/2006,366.43,759.52,1262.86
2/14/2006,371.1,765.51,1275.53
2/15/2006,373.89,767.94,1280
2/16/2006,377.02,774.73,1289.38
2/17/2006,376.74,774.61,1287.24
2/21/2006,375.65,772.6,1283.03
2/22/2006,378.58,779.44,1292.67
2/23/2006,377.95,777.3,1287.79
2/24/2006,380,780.65,1289.43
2/27/2006,381.29,782.39,1294.12
2/28/2006,376.76,773.6,1280.66
3/1/2006,382.06,785.15,1291.24
3/2/2006,381.58,782.31,1289.14
3/3/2006,380.28,779.87,1287.23
3/6/2006,376.1,772.34,1278.26
3/7/2006,371.49,763.33,1275.88
3/8/2006,371.84,763.87,1278.47
3/9/2006,370.23,760.26,1272.23
3/10/2006,374.76,765.2,1281.42
3/13/2006,375.63,768.54,1284.13
3/14/2006,379.8,776.7,1297.48
3/15/2006,382.76,782.13,1303.02
3/16/2006,384.03,782.51,1305.33
3/17/2006,385.03,784.59,1307.25
3/20/2006,385.16,781.94,1305.08
3/21/2006,382.04,775.28,1297.23
3/22/2006,386.53,781.33,1305.04
