"NET.VALUE"|"FLOOR.AREA"
93800|2200
119100|2450
136300|3000
131800|2517
147900|2422
131800|2517
107300|4792
131100|2522
135300|2797
157400|2935
110600|2235
104300|2114
148300|4850
104400|2060
110800|2198
110800|2334
128300|3172
126900|2600
131000|2303
131500|2303
144900|2495
156100|3390
119400|2168
128400|2174
135400|2174
147500|2699
131000|2500
127600|2500
175600|3515
146300|2990
119400|2500
221700|4008
137300|3132
157900|3982
106100|1830
103800|1790
142900|2804
91600|1932
129600|2925
91600|1890
102500|2143
105400|1776
153400|3544
115300|2086
109700|2046
104200|1200
81800|1604
107900|1974
