DATE,GDPC1,PCECC96,GDPDEF,DPIC96,OUTMS,GPDI,CP,CPALTT01USQ661S,A229RX0Q048SBEA,NETEXP,GNP,GDPC1_PCH,PCECC96_PCH,GDPDEF_PCH,DPIC96_PCH,OUTMS_PCH,GPDI_PCH,CP_PCH,CPALTT01USQ661S_PCH,A229RX0Q048SBEA_PCH,NETEXP_PCH,GNP_PCH
1947-01-01,1934.5,1199.4,12.566,1312.3,.,35.9,21.9,.,9167,10.9,244.1,,,,,,,,,,,
1947-01-04,1932.3,1219.3,12.745,1297.4,.,34.5,20.7,.,9022,11.3,247.4,-0.11372,1.65916,1.42448,-1.13541,.,-3.89972,-5.47945,.,-1.58176,3.66972,1.3519
1947-01-07,1930.3,1223.3,12.957,1330.7,.,34.9,20.5,.,9211,11.8,251.2,-0.1035,0.32806,1.6634,2.56667,.,1.15942,-0.96618,.,2.09488,4.42478,1.53597
1947-01-10,1960.7,1223.6,13.276,1311.5,.,43.2,22.3,.,9036,9.3,261.5,1.57488,0.02452,2.46199,-1.44285,.,23.78223,8.78049,.,-1.8999,-21.18644,4.10032
1948-01-01,1989.5,1229.8,13.379,1337.3,.,47.2,23.6,.,9175,7.3,267.6,1.46886,0.5067,0.77584,1.96721,.,9.25926,5.8296,.,1.53829,-21.50538,2.3327
1948-01-04,2021.9,1244.1,13.497,1379.1,.,50.3,24.8,.,9424,5.2,274.4,1.62855,1.16279,0.88198,3.1257,.,6.5678,5.08475,.,2.7139,-28.76712,2.54111
1948-01-07,2033.2,1245.9,13.747,1401.7,.,52.5,24.4,.,9537,4.9,281,0.55888,0.14468,1.85226,1.63875,.,4.37376,-1.6129,.,1.19907,-5.76923,2.40525
1948-01-10,2035.3,1255.8,13.789,1409.5,.,51.3,23.5,.,9546,4.5,282.1,0.10329,0.79461,0.30552,0.55647,.,-2.28571,-3.68852,.,0.09437,-8.16327,0.39146
1949-01-01,2007.5,1257.9,13.717,1381.8,.,43.1,21.5,.,9318,6.5,276.8,-1.36589,0.16722,-0.52216,-1.96524,.,-15.98441,-8.51064,.,-2.38843,44.44444,-1.87877
1949-01-04,2000.8,1277.1,13.579,1388.6,.,36.2,19,.,9326,6.3,273,-0.33375,1.52635,-1.00605,0.49211,.,-16.00928,-11.62791,.,0.08586,-3.07692,-1.37283
1949-01-07,2022.8,1280,13.509,1397.5,.,39.5,19.6,.,9346,5.2,274.5,1.09956,0.22708,-0.5155,0.64093,.,9.11602,3.15789,.,0.21445,-17.46032,0.54945
1949-01-10,2004.7,1298.8,13.518,1405.4,.,37.5,19.3,.,9356,3,272.1,-0.8948,1.46875,0.06662,0.5653,.,-5.06329,-1.53061,.,0.107,-42.30769,-0.87432
1950-01-01,2084.6,1320.4,13.49,1513.7,.,46.7,19.8,.,10035,2.2,282.4,3.98563,1.66307,-0.20713,7.70599,.,24.53333,2.59067,.,7.25737,-26.66667,3.78537
1950-01-04,2147.6,1342.1,13.538,1509.2,.,52.3,23.6,.,9969,1.6,292.1,3.02216,1.64344,0.35582,-0.29728,.,11.99143,19.19192,.,-0.6577,-27.27273,3.43484
1950-01-07,2230.4,1411,13.832,1528.1,.,58.6,28.6,.,10051,-0.7,310.1,3.85547,5.13375,2.17166,1.25232,.,12.04589,21.18644,.,0.82255,-143.75,6.16227
