DATE,GDPC1,PCECC96,GDPDEF,DPIC96,OUTMS,GPDI,CP,CPALTT01USQ661S,A229RX0Q048SBEA,NETEXP,GNP,PCDG
1947-01-01,1934.5,1199.4,12.566,1312.3,.,35.9,21.9,.,9167,10.9,244.1,20.7
1947-04-01,1932.3,1219.3,12.745,1297.4,.,34.5,20.7,.,9022,11.3,247.4,21.4
1947-07-01,1930.3,1223.3,12.957,1330.7,.,34.9,20.5,.,9211,11.8,251.2,21.8
1947-10-01,1960.7,1223.6,13.276,1311.5,.,43.2,22.3,.,9036,9.3,261.5,23.5
1948-01-01,1989.5,1229.8,13.379,1337.3,.,47.2,23.6,.,9175,7.3,267.6,23.5
1948-04-01,2021.9,1244.1,13.497,1379.1,.,50.3,24.8,.,9424,5.2,274.4,24
1948-07-01,2033.2,1245.9,13.747,1401.7,.,52.5,24.4,.,9537,4.9,281,25.3
1948-10-01,2035.3,1255.8,13.789,1409.5,.,51.3,23.5,.,9546,4.5,282.1,25
1949-01-01,2007.5,1257.9,13.717,1381.8,.,43.1,21.5,.,9318,6.5,276.8,24.4
1949-04-01,2000.8,1277.1,13.579,1388.6,.,36.2,19,.,9326,6.3,273,26.4
1949-07-01,2022.8,1280,13.509,1397.5,.,39.5,19.6,.,9346,5.2,274.5,27.3
1949-10-01,2004.7,1298.8,13.518,1405.4,.,37.5,19.3,.,9356,3,272.1,28.4
1950-01-01,2084.6,1320.4,13.49,1513.7,.,46.7,19.8,.,10035,2.2,282.4,29.3
1950-04-01,2147.6,1342.1,13.538,1509.2,.,52.3,23.6,.,9969,1.6,292.1,29.8
1950-07-01,2230.4,1411,13.832,1528.1,.,58.6,28.6,.,10051,-0.7,310.1,37.4
1950-10-01,2273.4,1368.4,14.09,1537.5,.,68.4,31.4,.,10067,-0.2,321.9,33.3
1951-01-01,2304.5,1401.5,14.596,1539.3,.,64.6,26.1,.,10038,0.2,337.9,35.6
1951-04-01,2344.5,1361.9,14.692,1573.5,.,67.4,22.3,.,10221,1.9,346.3,30.7
1951-07-01,2392.8,1377.7,14.701,1591.4,.,62,20.5,.,10290,3.7,353.8,30.2
1951-10-01,2398.1,1385.8,14.869,1588.5,.,57.1,22.3,.,10223,4.2,358.7,30.4
1952-01-01,2423.5,1388.9,14.863,1587.7,.,58.1,21.8,.,10176,3.7,362.2,30.8
1952-04-01,2428.5,1416.1,14.882,1607.8,.,53,21,.,10264,2,363.4,31
1952-07-01,2446.1,1423,15.048,1640.2,.,57.2,21.3,.,10425,0,370.1,29.5
1952-10-01,2526.4,1473.3,15.091,1675.4,.,60.7,23.4,.,10601,-1,383.2,33.7
1953-01-01,2573.4,1490.8,15.096,1695.8,.,61.7,24.3,.,10689,-0.7,390.4,35.2
1953-04-01,2593.5,1499.8,15.125,1717.9,.,62.1,24.3,.,10788,-1.3,394.3,35
1953-07-01,2578.9,1496.3,15.188,1709.7,.,61.4,23.8,.,10688,-0.6,393.5,34.6
1953-10-01,2539.8,1486.4,15.219,1704,.,56.4,19,.,10602,-0.3,388.3,33.7
1954-01-01,2528,1491.8,15.266,1712.7,.,55.7,21.6,.,10612,-0.4,387.9,32.9
1954-04-01,2530.7,1511.3,15.281,1714.3,.,55.4,22.2,.,10579,0.3,388.7,33.6
1954-07-01,2559.4,1531.8,15.3,1732.5,.,59,23.6,.,10642,0.6,393.6,33.2
1954-10-01,2609.3,1564,15.343,1765.7,.,62.1,25.3,.,10794,1.1,402.7,35.1
1955-01-01,2683.8,1599.1,15.417,1794.5,.,68.7,28.4,0.122873917,10924,1.1,416.2,38.4
1955-04-01,2727.5,1629.7,15.481,1834,.,72.7,28.8,0.122705764,11120,-0.2,424.6,40.7
1955-07-01,2764.1,1649.8,15.59,1867.7,.,74.7,29.6,0.122797484,11273,0.7,433.4,42.4
1955-10-01,2780.8,1670.5,15.743,1889.5,.,78.9,30.8,0.123164363,11350,0.2,440.3,41.4
1956-01-01,2770,1673.2,15.902,1909,.,78.3,30.2,0.123179649,11418,0.4,443.3,39.7
1956-04-01,2792.9,1678.8,15.997,1927.1,.,77,31.1,0.123989841,11479,1.9,449.6,39.8
1956-07-01,2790.6,1682.6,16.197,1936.9,.,78.3,29.8,0.125273917,11484,2.6,454.9,39.7
