DATE,GDPC1_PCH,PCECC96_PCH,GDPDEF_PCH,DPIC96_PCH,OUTMS_PCH,GPDI_PCH,CP_PCH,CPALTT01USQ661S_PCH,A229RX0Q048SBEA_PCH,NETEXP_PCH,LES1252881600Q_PCH,GNP_PCH
,,,,,,,,,,,,
4/1/1947,-0.11372,1.65916,1.42448,-1.13541,.,-3.89972,-5.47945,.,-1.58176,3.66972,.,1.3519
7/1/1947,-0.1035,0.32806,1.6634,2.56667,.,1.15942,-0.96618,.,2.09488,4.42478,.,1.53597
10/1/1947,1.57488,0.02452,2.46199,-1.44285,.,23.78223,8.78049,.,-1.8999,-21.18644,.,4.10032
1/1/1948,1.46886,0.5067,0.77584,1.96721,.,9.25926,5.8296,.,1.53829,-21.50538,.,2.3327
4/1/1948,1.62855,1.16279,0.88198,3.1257,.,6.5678,5.08475,.,2.7139,-28.76712,.,2.54111
7/1/1948,0.55888,0.14468,1.85226,1.63875,.,4.37376,-1.6129,.,1.19907,-5.76923,.,2.40525
10/1/1948,0.10329,0.79461,0.30552,0.55647,.,-2.28571,-3.68852,.,0.09437,-8.16327,.,0.39146
1/1/1949,-1.36589,0.16722,-0.52216,-1.96524,.,-15.98441,-8.51064,.,-2.38843,44.44444,.,-1.87877
4/1/1949,-0.33375,1.52635,-1.00605,0.49211,.,-16.00928,-11.62791,.,0.08586,-3.07692,.,-1.37283
7/1/1949,1.09956,0.22708,-0.5155,0.64093,.,9.11602,3.15789,.,0.21445,-17.46032,.,0.54945
10/1/1949,-0.8948,1.46875,0.06662,0.5653,.,-5.06329,-1.53061,.,0.107,-42.30769,.,-0.87432
1/1/1950,3.98563,1.66307,-0.20713,7.70599,.,24.53333,2.59067,.,7.25737,-26.66667,.,3.78537
4/1/1950,3.02216,1.64344,0.35582,-0.29728,.,11.99143,19.19192,.,-0.6577,-27.27273,.,3.43484
7/1/1950,3.85547,5.13375,2.17166,1.25232,.,12.04589,21.18644,.,0.82255,-143.75,.,6.16227
10/1/1950,1.92791,-3.01914,1.86524,0.61514,.,16.72355,9.79021,.,0.15919,-71.42857,.,3.80522
1/1/1951,1.368,2.41888,3.5912,0.11707,.,-5.55556,-16.87898,.,-0.28807,-200,.,4.97049
4/1/1951,1.73573,-2.82554,0.65771,2.22179,.,4.33437,-14.55939,.,1.82307,850,.,2.48594
7/1/1951,2.06014,1.16014,0.06126,1.13759,.,-8.01187,-8.07175,.,0.67508,94.73684,.,2.16575
10/1/1951,0.2215,0.58794,1.14278,-0.18223,.,-7.90323,8.78049,.,-0.65112,13.51351,.,1.38496
1/1/1952,1.05917,0.2237,-0.04035,-0.05036,.,1.75131,-2.24215,.,-0.45975,-11.90476,.,0.97575
4/1/1952,0.20631,1.95838,0.12783,1.26598,.,-8.77797,-3.66972,.,0.86478,-45.94595,.,0.33131
7/1/1952,0.72473,0.48725,1.11544,2.01518,.,7.92453,1.42857,.,1.56859,-100,.,1.8437
10/1/1952,3.28278,3.53479,0.28575,2.14608,.,6.11888,9.85915,.,1.68825,.,.,3.53958
1/1/1953,1.86035,1.18781,0.03313,1.21762,.,1.64745,3.84615,.,0.83011,-30,.,1.87891
4/1/1953,0.78107,0.6037,0.1921,1.30322,.,0.6483,0,.,0.92619,85.71429,.,0.99898
7/1/1953,-0.56295,-0.23336,0.41653,-0.47733,.,-1.12721,-2.05761,.,-0.92696,-53.84615,.,-0.20289
10/1/1953,-1.51615,-0.66163,0.20411,-0.33339,.,-8.14332,-20.16807,.,-0.80464,-50,.,-1.32147
1/1/1954,-0.4646,0.36329,0.30882,0.51056,.,-1.24113,13.68421,.,0.09432,33.33333,.,-0.10301
4/1/1954,0.1068,1.30715,0.09826,0.09342,.,-0.5386,2.77778,.,-0.31097,-175,.,0.20624
7/1/1954,1.13407,1.35645,0.12434,1.06166,.,6.49819,6.30631,.,0.59552,100,.,1.26061
10/1/1954,1.94968,2.1021,0.28105,1.91631,.,5.25424,7.20339,.,1.4283,83.33333,.,2.31199
1/1/1955,2.85517,2.24425,0.4823,1.63108,.,10.62802,12.25296,.,1.20437,0,.,3.35237
4/1/1955,1.62829,1.91358,0.41513,2.20117,.,5.82242,1.40845,-0.13685,1.79421,-118.18182,.,2.01826
7/1/1955,1.34189,1.23336,0.70409,1.83751,.,2.75103,2.77778,0.07475,1.3759,-450,.,2.07254
10/1/1955,0.60417,1.2547,0.9814,1.16721,.,5.62249,4.05405,0.29877,0.68305,-71.42857,.,1.59206
1/1/1956,-0.38838,0.16163,1.00997,1.03202,.,-0.76046,-1.94805,0.01241,0.59912,100,.,0.68135
4/1/1956,0.82671,0.33469,0.59741,0.94814,.,-1.66028,2.98013,0.65773,0.53424,375,.,1.42116
7/1/1956,-0.08235,0.22635,1.25023,0.50854,.,1.68831,-4.18006,1.03563,0.04356,36.84211,.,1.17883
10/1/1956,1.63406,1.37882,0.41366,1.51789,.,-1.53257,5.36913,0.85418,1.01881,73.07692,.,1.95647
1/1/1957,0.64523,0.6859,1.35883,0.29497,.,0.77821,0.95541,0.82275,-0.1293,6.66667,.,2.13454
4/1/1957,-0.2207,0.17467,0.70367,0.70483,.,0.2574,-4.10095,0.85203,0.29346,-14.58333,.,0.52776
7/1/1957,0.97254,0.79047,0.60237,0.54381,.,1.79718,-2.30263,0.89243,0.09466,-2.43902,.,1.53297
10/1/1957,-1.02577,0.04613,0.05988,-0.59595,.,-10.46658,-8.08081,0.48355,-1.04892,-15,.,-1.09617
1/1/1958,-2.58924,-1.37184,1.08312,-0.76074,.,-6.05634,-13.55311,1.18545,-1.12955,-67.64706,.,-1.50565
4/1/1958,0.6564,0.81819,0.28416,0.67012,.,-2.3988,1.69492,0.67278,0.28122,-54.54545,.,0.95541
7/1/1958,2.31467,1.64628,0.60803,2.0121,.,10.59908,10.83333,-0.05761,1.56866,80,.,2.90221
10/1/1958,2.33935,1.34588,0.4694,1.22102,.,11.11111,12.78195,0.10376,0.75928,-133.33333,.,2.79992
1/1/1959,1.85813,1.81757,0.26864,0.84978,.,4,6.66667,0.17275,0.44528,-233.33333,.,2.10736
4/1/1959,2.43231,1.54195,0.14561,1.59806,.,7.45192,8.4375,0.17245,1.20205,-100,.,2.57009
7/1/1959,-0.19351,1.04501,0.37222,-0.13823,.,-6.4877,-9.51009,0.51647,-0.55598,.,.,0.22779
10/1/1959,0.39433,0.11312,0.39402,0.71596,.,3.4689,-1.91083,0.60516,0.27107,0,.,0.83333
1/1/1960,2.22906,0.95233,0.40979,1.18952,.,11.56069,9.41558,0.0908,0.38861,350,.,2.61082
4/1/1960,-0.38102,1.26845,0.26441,0.62758,.,-9.74093,-6.82493,0.60098,0.26929,55.55556,.,-0.10983
7/1/1960,0.2507,-0.39998,0.36118,0.17686,.,-0.80367,-4.14013,0.05636,-0.25178,0,.,0.64138
10/1/1960,-1.21189,0.12682,0.30847,-0.04181,.,-12.03704,-3.32226,0.64211,-0.48801,38.09524,.,-0.874
1/1/1961,0.68153,-0.02639,0.2164,0.97142,.,3.15789,-2.06186,0.20148,0.57496,0,.,0.93681
4/1/1961,1.85669,1.4886,0.24435,1.52366,.,7.27041,5.26316,-0.03351,1.13493,-5.17241,.,2.05641
7/1/1961,1.66777,0.48892,0.26076,1.3285,.,8.08561,5.33333,0.39111,0.90607,-29.09091,.,1.94365
