Recorded_Date DistribChnl DivSch Role BPA Fin FundR HR Others PubSaf SIS UDW Rate_FundR_Confor Rate_FundR_Reliab Rate_FundR_Assur Rate_FundR_Partner Rate_FundR_Respons Rate_UDW_Confor Rate_UDW_Reliab Rate_UDW_Assur Rate_UDW_Partner Rate_UDW_Respons Rate_Fin_Confor Rate_Fin_Reliab Rate_Fin_Assur Rate_Fin_Partner Rate_Fin_Respons Rate_HR_Confor Rate_HR_Reliab Rate_HR_Assur Rate_HR_Partner Rate_HR_Respons Rate_SIS_Confor Rate_SIS_Reliab Rate_SIS_Assur Rate_SIS_Partner Rate_SIS_Respons Rate_Others_Confor Rate_Others_Reliab Rate_Others_Assur Rate_Others_Partner Rate_Others_Respons Rate_PubSaf_Confor Rate_PubSaf_Reliab Rate_PubSaf_Assur Rate_PubSaf_Partner Rate_PubSaf_Respons Rate_BPA_Confor Rate_BPA_Reliab Rate_BPA_Assur Rate_BPA_Partner Rate_BPA_Respons Rate_Satis BPA_Score Fin_Score FundR_Score HR_Score Others_Score PubSaf_Score SIS_Score UDW_Score Satis_Score Confor_Score Reliab_Score Assur_Score Partner_Score Respons_Score Qual_Score
2015-11-17 anonymous Finance Staff/Administrator TRUE TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.0 2.0 2.0 2.0 2.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0 1.0 1.0 1.0 1.0 2.0 1.0 2.0 NaN NaN NaN NaN NaN NaN 2.0 1.5 1.5 1.5 1.5 1.5 1.5
2015-11-17 anonymous Finance Staff/Administrator TRUE NA NA TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 5.0 5.0 NaN NaN 5.0 NaN NaN 5.0 NaN 5.0 5.0 5.0 5.0 5.0 5.0 5.0
2015-11-17 anonymous "Human Resource" Staff/Administrator TRUE NA NA TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA 5.0 5.0 5.0 5.0 5.0 5.0 5.0 NaN NaN 5.0 NaN NaN 5.0 NaN 5.0 5.0 5.0 5.0 5.0 5.0 5.0
2015-11-16 anonymous Finance Staff/Administrator TRUE TRUE TRUE TRUE NA NA TRUE TRUE 3.0 3.0 4.0 3.0 2.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 2.0 2.0 4.0 3.0 4.0 4.0 4.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA 2.0 2.0 3.0 3.0 3.0 4.0 2.6 3.0 3.0 3.0 NaN NaN 4.6 3.0 4.0 2.8 2.8 3.7 3.3 3.3 3.1799999999999997
2015-11-16 anonymous "Human Resource" Staff/Administrator TRUE NA NA TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 5.0 3.0 4.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 4.0 3.0 NaN NaN 4.0 NaN NaN NaN NaN 4.0 3.5 3.5 4.0 3.0 3.5 3.5
2015-11-16 anonymous UDAR Staff/Administrator TRUE NA TRUE TRUE NA NA TRUE TRUE 5.0 5.0 5.0 5.0 4.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA 4.0 5.0 5.0 4.0 5.0 4.0 4.0 4.0 4.0 4.0 NA NA NA NA NA NA NA NA NA NA 4.0 4.0 5.0 4.0 4.0 4.0 4.2 NaN 4.8 4.6 NaN NaN 4.0 4.0 4.0 4.2 4.4 4.6 4.2 4.2 4.32
2015-11-16 anonymous "Human Resource" Staff/Administrator NA NA NA TRUE NA NA NA TRUE NA NA NA NA NA 3.0 3.0 3.0 4.0 4.0 NA NA NA NA NA 2.0 4.0 5.0 5.0 5.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 NaN NaN NaN 4.2 NaN NaN NaN 3.4 4.0 2.5 3.5 4.0 4.5 4.5 3.8
2015-11-16 anonymous "Human Resource" Staff/Administrator TRUE TRUE NA TRUE NA NA NA TRUE NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 4.0 4.0 4.0 4.0 3.0 4.0 3.0 NaN 3.0 NaN NaN NaN 3.0 3.0 3.2 3.2 3.2 3.2 3.2 3.2
2015-11-16 anonymous Finance Staff/Administrator TRUE TRUE NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 2.0 3.0 3.0 2.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.0 2.0 3.0 3.0 2.0 2.0 2.8 2.8 NaN NaN NaN NaN NaN NaN 2.0 4.0 2.0 3.0 3.0 2.0 2.8
2015-11-16 anonymous "Human Resource" Staff/Administrator NA NA NA TRUE NA NA NA TRUE NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA 3.0 3.0 3.0 3.0 3.0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.0 NaN NaN NaN 3.0 NaN NaN NaN 3.0 3.0 3.0 3.0 3.0 3.0 3.0 3.0
