Managing Studio Name,Opportunity ID,Report Currency Code,Currency Code,Opportunity Value,Project Duration,OpportunityValueLog,ProjectDurationLog
Shanghai,9707542,CNY,CNY,1503211,61.6,14.22311404,4.120661871
Shanghai,9707560,CNY,CNY,70000,9.6,11.15625052,2.261763098
Shanghai,9707565,CNY,CNY,1150000,3.9,13.9552725,1.360976553
Shanghai,9707577,CNY,CNY,1886791,7.9,14.45038806,2.066862759
Shanghai,9707708,CNY,CNY,259434,9.6,12.46625761,2.261763098
Shanghai,9707719,CNY,CNY,615909,9.6,13.3308545,2.261763098
Shanghai,9707754,CNY,CNY,493584,4.9,13.10944834,1.589235205
Shanghai,9707832,CNY,CNY,3300000,20.6,15.00943303,3.025291076
Shanghai,9707833,CNY,CNY,450000,3.9,13.01700286,1.360976553
Shanghai,9707856,CNY,CNY,695948,6.6,13.45303022,1.887069649
Shanghai,9707863,CNY,CNY,2500000,54.6,14.73180129,4.000033883
Shanghai,9708211,CNY,CNY,250000,7.6,12.4292162,2.028148247
Shanghai,9708255,CNY,CNY,4699999,18.6,15.36307285,2.923161581
Shanghai,9708257,CNY,CNY,1304718,84.9,14.08149748,4.441474093
Shanghai,9708259,CNY,CNY,8400000,97.9,15.94374226,4.58394655
Shanghai,9708260,CNY,CNY,4378887,28.6,15.29230514,3.353406718
Shanghai,9708320,CNY,CNY,30052,17.9,10.31068449,2.884800713
Shanghai,9708364,CNY,CNY,3380000,35.3,15.03338627,3.563882964
Shanghai,9708390,CNY,CNY,4255680,10.9,15.26376512,2.388762789
Shanghai,9708481,CNY,CNY,2000000,25.6,14.50865774,3.242592351
Shanghai,9708482,CNY,CNY,124836,1.9,11.73475615,0.641853886
Shanghai,9708485,CNY,CNY,2049998,28.6,14.53334938,3.353406718
Shanghai,9708487,CNY,CNY,1799998,25.6,14.40329611,3.242592351
Shanghai,9708488,CNY,CNY,499997,7.6,13.12235738,2.028148247
Shanghai,9708490,CNY,CNY,124836,1.1,11.73475615,0.09531018
Shanghai,9708491,CNY,CNY,1799997,9.9,14.40329556,2.292534757
Shanghai,9708494,CNY,CNY,200000,10.6,12.20607265,2.360854001
Shanghai,9708496,CNY,CNY,1415095,10.6,14.16270722,2.360854001
Shanghai,9708589,CNY,CNY,849060,1.6,13.65188513,0.470003629
Shanghai,9708590,CNY,CNY,20801892,26.6,16.8505545,3.280911216
Shanghai,9708594,CNY,CNY,1420000,12.9,14.16616743,2.557227311
Shanghai,9708595,CNY,CNY,3150000,11.6,14.96291301,2.451005098
Shanghai,9708633,CNY,CNY,6320000,24.6,15.65922977,3.202746443
Shanghai,9708680,CNY,CNY,300000,1.9,12.61153775,0.641853886
Shanghai,9708797,CNY,CNY,1450000,8.9,14.18707411,2.186051277
Shanghai,9708839,CNY,CNY,820000,3.9,13.61705962,1.360976553
Shanghai,9709044,CNY,CNY,4600000,15.1,15.34156686,2.714694744
Shanghai,9709045,CNY,CNY,1198634,16.6,13.99669313,2.809402695
Shanghai,9709046,CNY,CNY,4600000,39.9,15.34156686,3.686376324
Shanghai,9709047,CNY,CNY,700000,22.6,13.45883561,3.117949906
Shanghai,9709048,CNY,CNY,1550000,10.6,14.25376549,2.360854001
Shanghai,9709049,CNY,CNY,2300000,33.6,14.64841968,3.514526067
Shanghai,9709050,CNY,CNY,3600000,13.9,15.0964444,2.63188884
Shanghai,9709051,CNY,CNY,3500000,17.9,15.06827353,2.884800713
Shanghai,9709098,CNY,CNY,1400000,6.6,14.15198279,1.887069649
Shanghai,9709115,CNY,CNY,2945328,13.9,14.89573074,2.63188884
Shanghai,9709273,CNY,CNY,2300000,12.6,14.64841968,2.533696814
Shanghai,9709305,CNY,CNY,8265840,25.9,15.92764192,3.254242969
Shanghai,9709306,CNY,CNY,4072800,16.9,15.21984128,2.827313622
Shanghai,9709307,CNY,CNY,22400400,33.4,16.92458937,3.5085559
Shanghai,9709308,CNY,CNY,8145600,20.9,15.91298846,3.039749159
Shanghai,9709309,CNY,CNY,4513125,77.6,15.32250038,4.351567427
Shanghai,9709359,CNY,CNY,4734808,8,15.37045173,2.079441542
Shanghai,9709479,CNY,CNY,3301886,23.6,15.01000438,3.161246712
Shanghai,9709480,CNY,CNY,5188679,63.6,15.46198969,4.15261347
Shanghai,9709481,CNY,CNY,1899998,20.6,14.45736339,3.025291076
Shanghai,9709482,CNY,CNY,2353773,18.6,14.67153013,2.923161581
Shanghai,9709621,CNY,CNY,2450001,12.6,14.71159899,2.533696814
Shanghai,9709625,CNY,CNY,1200000,6.1,13.99783211,1.808288771
Shanghai,9709626,CNY,CNY,567135,4.9,13.24835265,1.589235205
Shanghai,9709628,CNY,CNY,1909786,11.9,14.46250175,2.4765384
Shanghai,9709642,CNY,CNY,1179998,10.6,13.9810233,2.360854001
Shanghai,9709643,CNY,CNY,2670000,13.6,14.79758903,2.610069793
Shanghai,9709669,CNY,CNY,95471,1.9,11.46657782,0.641853886
Shanghai,9709670,CNY,CNY,1763944,18.6,14.38306277,2.923161581
Shanghai,9709671,CNY,CNY,247728,5.6,12.42008665,1.722766598
Shanghai,9709672,CNY,CNY,112999,4.9,11.63513425,1.589235205
Shanghai,9709676,CNY,CNY,30804,2.6,10.33539983,0.955511445
Shanghai,9709677,CNY,CNY,221438,9.9,12.30789792,2.292534757
Shanghai,9709682,CNY,CNY,2782497,14.9,14.83885928,2.701361213
Shanghai,9709838,CNY,CNY,1500000,13.9,14.22097567,2.63188884
Shanghai,9709924,CNY,CNY,7213800,22.6,15.79150642,3.117949906
Shanghai,9709925,CNY,CNY,918120,5.6,13.73008338,1.722766598
Shanghai,9709926,CNY,CNY,6227916,56.3,15.64455232,4.030694535
Shanghai,9709927,CNY,CNY,4588990,15.6,15.33917051,2.747270914
Shanghai,9709953,CNY,CNY,627770,6.6,13.34992914,1.887069649
Shanghai,9710025,CNY,CNY,1100000,14.4,13.91082074,2.667228207
Shanghai,9710036,CNY,CNY,405000,7.6,12.91164235,2.028148247
Shanghai,9710047,CNY,CNY,1820000,24.6,14.41434706,3.202746443
Shanghai,9710048,CNY,CNY,2650000,32.6,14.7900702,3.484312288
Shanghai,9710049,CNY,CNY,2600000,25.6,14.771022,3.242592351
Shanghai,9710054,CNY,CNY,289408,1.9,12.57559274,0.641853886
Shanghai,9710127,CNY,CNY,9230,3.9,9.130214327,1.360976553
Shanghai,9710128,CNY,CNY,1473674,6.1,14.20326916,1.808288771
Shanghai,9710197,CNY,CNY,2480000,10.9,14.72376912,2.388762789
Shanghai,9710246,CNY,CNY,3100000,14.6,14.94691267,2.681021529
Shanghai,9710247,CNY,CNY,455000,4.9,13.0280527,1.589235205
Shanghai,9710248,CNY,CNY,1900000,17.9,14.45736444,2.884800713
Shanghai,9710356,CNY,CNY,131828,11.9,11.78925332,2.4765384
Shanghai,9710456,CNY,CNY,3289000,22.9,15.00609413,3.131136911
Shanghai,9710682,CNY,CNY,4125020,25.9,15.23258143,3.254242969
